Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic
Avatar,Original Screenplay,Action,Animation/Live Action,True,425000000,12,2009,26752099,3452,0.82,0.83
Pirates of the Caribbean: On Stranger Tides,Based on Theme Park Ride,Adventure,Live Action,True,410600000,5,2011,34860549,4155,0.33,0.45
Avengers: Age of Ultron,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,330600000,5,2015,84424532,4276,0.75,0.66
Star Wars Ep. VIII: The Last Jedi,Original Screenplay,Adventure,Live Action,True,317000000,12,2017,104684491,4232,-1,-1
Star Wars Ep. VII: The Force Awakens,Original Screenplay,Adventure,Animation/Live Action,True,306000000,12,2015,119119282,4134,-1,-1
Avengers: Infinity War,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,300000000,4,2018,106334939,4474,0.85,0.68
Pirates of the Caribbean: At Worldâs End,Based on Theme Park Ride,Adventure,Live Action,True,300000000,5,2007,13240044,3100,0.44,0.5
Justice League,Based on Comic/Graphic Novel,Action,Live Action,True,300000000,11,2017,38471202,4051,-1,0.45
Spectre,Based on Fiction Book/Short Story,Action,Live Action,True,300000000,11,2015,27434579,3929,-1,0.6
The Dark Knight Rises,Based on Comic/Graphic Novel,Action,Live Action,True,275000000,7,2012,75754897,4404,0.87,0.78
The Lone Ranger,Based on TV,Western,Live Action,False,275000000,7,2013,9651118,3904,0.31,0.37
John Carter,Based on Fiction Book/Short Story,Adventure,Live Action,False,275000000,3,2012,9811935,3749,0.52,0.51
Tangled,Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,False,260000000,11,2010,11869194,3603,0.89,0.71
Spider-Man 3,Based on Comic/Graphic Novel,Adventure,Live Action,True,258000000,5,2007,59841919,4252,0.63,0.59
Captain America: Civil War,Based on Comic/Graphic Novel,Action,Live Action,True,250000000,5,2016,75502161,4226,0.91,0.75
Batman v Superman: Dawn of Justice,Based on Comic/Graphic Novel,Action,Live Action,True,250000000,3,2016,81558505,4242,0.28,0.44
The Hobbit: An Unexpected Journey,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,250000000,12,2012,37125547,4045,0.65,0.58
Harry Potter and the Half-Blood Prince,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,250000000,7,2009,58175412,4275,-1,0.78
The Hobbit: The Desolation of Smaug,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,250000000,12,2013,31190587,3903,0.74,0.66
The Hobbit: The Battle of the Five Armies,Based on Fiction Book/Short Story,Adventure,Live Action,True,250000000,12,2014,24452117,3875,0.59,0.59
The Fate of the Furious,Original Screenplay,Action,Live Action,True,250000000,4,2017,45695015,4310,0.68,0.56
Solo: A Star Wars Story,Spin-Off,Adventure,Live Action,True,250000000,5,2018,35375125,4381,0.7,0.62
Superman Returns,Based on Comic/Graphic Novel,Adventure,Live Action,True,232000000,6,2006,21037277,3915,0.75,0.72
Pirates of the Caribbean: Dead Men Tell No Tales,Based on Theme Park Ride,Adventure,Live Action,True,230000000,5,2017,23567874,4276,0.29,0.39
Quantum of Solace,Based on Fiction Book/Short Story,Action,Live Action,True,230000000,11,2008,27007026,3451,0.65,0.58
The Avengers,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,225000000,5,2012,80813985,4349,-1,0.12
Pirates of the Caribbean: Dead Manâs Chest,Based on Theme Park Ride,Adventure,Live Action,True,225000000,7,2006,55830600,4133,0.53,0.53
Man of Steel,Based on Comic/Graphic Novel,Action,Live Action,True,225000000,6,2013,12062124,1000,-1,0.55
The Chronicles of Narnia: Prince Caspian,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,225000000,5,2008,19397743,3929,-1,0.62
The Amazing Spider-Man,Based on Comic/Graphic Novel,Adventure,Live Action,True,220000000,7,2012,850000,400,-1,0.66
Battleship,Based on Game,Action,Live Action,False,220000000,5,2012,8782225,3690,0.34,0.41
Transformers: The Last Knight,Based on TV,Action,Animation/Live Action,True,217000000,6,2017,15658535,4069,0.15,0.27
Jurassic World,Based on Fiction Book/Short Story,Action,Live Action,True,215000000,6,2015,81953950,4274,0.72,0.59
Men in Black 3,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,True,215000000,5,2012,17664409,4248,-1,-1
Transformers: Revenge of the Fallen,Based on TV,Action,Animation/Live Action,True,210000000,6,2009,62016476,4234,0.19,0.35
Transformers: Age of Extinction,Based on TV,Action,Animation/Live Action,True,210000000,6,2014,41868135,4233,0.18,0.32
X-Men: The Last Stand,Based on Comic/Graphic Novel,Action,Live Action,True,210000000,5,2006,45102265,3690,-1,0.58
Robin Hood,Based on Folk Tale/Legend/Fairytale,Action,Live Action,False,210000000,5,2010,13031160,3503,-1,0.53
King Kong,Remake,Adventure,Animation/Live Action,True,207000000,12,2005,9755745,3567,0.84,0.81
The Golden Compass,Based on Fiction Book/Short Story,Adventure,Live Action,True,205000000,12,2007,8689000,3528,0.42,0.51
Black Panther,Based on Comic/Graphic Novel,Action,Live Action,True,200000000,2,2018,75941146,4020,-1,0.88
Titanic,Original Screenplay,Thriller/Suspense,Live Action,False,200000000,12,1997,8658814,2674,0.89,0.75
Incredibles 2,Original Screenplay,Adventure,Digital Animation,True,200000000,6,2018,71260321,4410,0.94,0.8
Rogue One: A Star Wars Story,Spin-Off,Adventure,Animation/Live Action,True,200000000,12,2016,71094394,4157,0.83,0.65
Finding Dory,Original Screenplay,Adventure,Digital Animation,True,200000000,6,2016,54746405,4305,0.94,0.77
Toy Story 3,Original Screenplay,Adventure,Digital Animation,True,200000000,6,2010,41148961,4028,0.98,0.92
Iron Man 3,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,200000000,5,2013,68858555,4253,0.8,0.62
Guardians of the Galaxy Vol 2,Based on Comic/Graphic Novel,Action,Live Action,True,200000000,5,2017,56078520,4347,0.83,0.67
Spider-Man 2,Based on Comic/Graphic Novel,Adventure,Live Action,True,200000000,6,2004,40442604,4152,0.93,0.83
Alice in Wonderland,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,200000000,3,2010,40804962,3728,-1,0.53
Skyfall,Based on Fiction Book/Short Story,Action,Live Action,True,200000000,11,2012,2200000,463,0.92,0.81
Monsters University,Original Screenplay,Adventure,Digital Animation,True,200000000,6,2013,30473099,4004,0.79,0.65
Oz the Great and Powerful,Spin-Off,Adventure,Animation/Live Action,True,200000000,3,2013,24096622,3912,0.59,0.44
X-Men: Days of Future Past,Based on Comic/Graphic Novel,Action,Live Action,True,200000000,5,2014,35511974,3996,-1,0.75
The Amazing Spider-Man 2,Based on Comic/Graphic Novel,Action,Live Action,True,200000000,5,2014,35167017,4324,-1,0.53
Cars 2,Original Screenplay,Adventure,Digital Animation,True,200000000,6,2011,25717785,4115,0.38,0.57
Tron: Legacy,Original Screenplay,Adventure,Live Action,True,200000000,12,2010,17509781,3451,-1,0.49
2012,Original Screenplay,Action,Live Action,True,200000000,11,2009,23441334,3404,-1,-1
Fantastic Beasts: The Crimes of Grindelwald,Spin-Off,Adventure,Live Action,True,200000000,11,2018,25473261,4163,0.37,0.52
Terminator Salvation,Original Screenplay,Action,Live Action,True,200000000,5,2009,13372491,3480,0.33,0.49
Green Lantern,Based on Comic/Graphic Novel,Action,Animation/Live Action,False,200000000,6,2011,21386523,3816,0.26,0.39
Prince of Persia: Sands of Time,Based on Game,Action,Live Action,False,200000000,5,2010,10208668,3646,0.36,-1
Transformers: Dark of the Moon,Based on TV,Action,Animation/Live Action,True,195000000,6,2011,5500000,0,0.35,0.42
The Mummy,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,True,195000000,6,2017,12035605,4035,-1,0.48
Jack the Giant Slayer,Based on Folk Tale/Legend/Fairytale,Adventure,Animation/Live Action,False,195000000,3,2013,7693563,3525,0.52,0.51
Furious 7,Original Screenplay,Action,Live Action,True,190000000,4,2015,67407340,4004,0.81,0.67
Star Trek Into Darkness,Based on TV,Adventure,Live Action,True,190000000,5,2013,13536422,3762,0.85,0.72
World War Z,Based on Fiction Book/Short Story,Action,Live Action,True,190000000,6,2013,25196879,3607,0.66,0.63
The Great Gatsby,Based on Fiction Book/Short Story,Drama,Live Action,False,190000000,5,2013,19412782,3535,-1,0.55
Disneyâs A Christmas Carol,Remake,Drama,Digital Animation,False,190000000,11,2009,8883262,3683,-1,-1
Pacific Rim,Original Screenplay,Action,Live Action,True,190000000,7,2013,14562934,3275,-1,0.65
The Good Dinosaur,Original Screenplay,Adventure,Digital Animation,True,187500000,11,2015,9760677,3749,0.76,0.66
Iron Man,Based on Comic/Graphic Novel,Adventure,Live Action,True,186000000,5,2008,38734361,4105,0.93,0.79
The Dark Knight,Based on Comic/Graphic Novel,Action,Live Action,True,185000000,7,2008,67165092,4366,0.94,0.84
Indiana Jones and the Kingdom of the Crystal Skull,Original Screenplay,Adventure,Live Action,True,185000000,5,2008,25041072,4260,0.78,0.65
Brave,Original Screenplay,Adventure,Digital Animation,True,185000000,6,2012,24635336,4164,-1,0.69
Kong: Skull Island,Original Screenplay,Adventure,Live Action,True,185000000,3,2017,20143072,3846,0.75,0.62
Star Trek Beyond,Based on TV,Adventure,Live Action,True,185000000,7,2016,22254377,3928,0.85,0.68
Blade Runner 2049,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,185000000,10,2017,12595704,4058,-1,-1
Thor: Ragnarok,Based on Comic/Graphic Novel,Action,Live Action,True,180000000,11,2017,46470936,4080,0.92,0.74
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,180000000,12,2005,23006856,3616,-1,0.75
Maleficent,Spin-Off,Adventure,Live Action,True,180000000,5,2014,24297459,3948,0.54,0.56
Fantastic Beasts and Where to Find Them,Spin-Off,Adventure,Live Action,True,180000000,11,2016,29661434,4144,0.74,0.66
WALL-E,Original Screenplay,Adventure,Digital Animation,False,180000000,6,2008,23164108,3992,-1,0.95
Rush Hour 3,Original Screenplay,Action,Live Action,True,180000000,8,2007,19103000,3778,0.18,0.44
The Legend of Tarzan,Based on Fiction Book/Short Story,Adventure,Live Action,True,180000000,7,2016,14051421,3561,0.36,0.44
Hugo,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,180000000,11,2011,1681250,1277,0.93,0.83
Valerian and the City of a Thousand Planets,Based on Comic/Graphic Novel,Adventure,Live Action,True,180000000,7,2017,6495217,3553,0.49,0.51
Jupiter Ascending,Original Screenplay,Action,Live Action,False,179000000,2,2015,6334002,3885,0.26,0.4
Mission: ImpossibleâFallout,Based on TV,Action,Live Action,True,178000000,7,2018,22803458,4386,-1,-1
X-Men: Apocalypse,Based on Comic/Graphic Novel,Action,Live Action,True,178000000,5,2016,26302191,4150,-1,0.52
The Meg,Based on Fiction Book/Short Story,Action,Live Action,True,178000000,8,2018,16604015,4118,0.46,0.46
Edge of Tomorrow,Based on Comic/Graphic Novel,Action,Live Action,True,178000000,6,2014,10605165,3490,0.9,0.71
The Jungle Book,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,175000000,4,2016,32013316,4028,-1,0.65
Inside Out,Original Screenplay,Adventure,Digital Animation,True,175000000,6,2015,34266177,3946,-1,0.28
Spider-Man: Homecoming,Based on Comic/Graphic Novel,Action,Live Action,True,175000000,7,2017,50780982,4348,-1,0.73
Suicide Squad,Based on Comic/Graphic Novel,Action,Live Action,True,175000000,8,2016,64893248,4255,-1,0.4
Up,Original Screenplay,Adventure,Digital Animation,False,175000000,5,2009,21481834,3766,0.98,0.88
Coco,Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,True,175000000,11,2017,13187576,3987,-1,0.54
Ralph Breaks The Internet,Original Screenplay,Adventure,Digital Animation,True,175000000,11,2018,18340440,4017,0.88,0.71
Monsters vs. Aliens,Based on Comic/Graphic Novel,Adventure,Digital Animation,False,175000000,3,2009,16754032,4104,0.73,0.56
Cars 3,Original Screenplay,Adventure,Digital Animation,True,175000000,6,2017,19595034,4256,0.7,0.59
G.I. Joe: The Rise of Cobra,Based on Toy,Action,Animation/Live Action,True,175000000,8,2009,22159303,4007,0.34,0.32
Wild Wild West,Based on TV,Adventure,Live Action,False,175000000,6,1999,7074603,3309,0.17,0.38
The Mummy: Tomb of the Dragon Emperor,Remake,Adventure,Live Action,True,175000000,8,2008,15228130,3759,-1,0.31
Evan Almighty,Original Screenplay,Comedy,Live Action,True,175000000,6,2007,11406660,3602,0.23,0.37
Waterworld,Original Screenplay,Action,Live Action,False,175000000,7,1995,32118480,2268,0.44,0.56
King Arthur: Legend of the Sword,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,True,175000000,5,2017,5273310,3702,0.31,0.41
47 Ronin,Original Screenplay,Action,Live Action,False,175000000,12,2013,7031735,2689,0.15,0.28
Singularity,Original Screenplay,Action,Live Action,False,175000000,-1,-1,-1,-1,-1,-1
Jurassic World: Fallen Kingdom,Based on Fiction Book/Short Story,Action,Live Action,True,170000000,6,2018,58566870,4475,0.48,0.51
Guardians of the Galaxy,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,170000000,8,2014,37845336,4080,0.91,0.76
Iron Man 2,Based on Comic/Graphic Novel,Action,Live Action,True,170000000,5,2010,51239677,4380,0.73,0.57
Captain America: The Winter Soldier,Based on Comic/Graphic Novel,Action,Live Action,True,170000000,4,2014,36926192,3938,0.9,0.7
Dawn of the Planet of the Apes,Remake,Adventure,Animation/Live Action,True,170000000,7,2014,27645087,3967,0.9,0.79
The Polar Express,Based on Fiction Book/Short Story,Adventure,Digital Animation,False,170000000,11,2004,2568506,3650,-1,0.61
Snow White and the Huntsman,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,True,170000000,6,2012,20468525,3773,0.49,0.57
Terminator 3: Rise of the Machines,Original Screenplay,Action,Animation/Live Action,True,170000000,7,2003,4036000,3355,0.69,0.66
Van Helsing,Original Screenplay,Action,Live Action,False,170000000,5,2004,19700000,3574,0.24,0.35
Tomorrowland,Original Screenplay,Adventure,Live Action,True,170000000,5,2015,9722075,3972,-1,0.6
Alice Through the Looking Glass,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,170000000,5,2016,9701973,3763,-1,0.34
Shrek Forever After,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,165000000,5,2010,20802341,4359,0.58,0.58
Doctor Strange,Based on Comic/Graphic Novel,Action,Live Action,True,165000000,11,2016,32585335,3882,-1,0.72
Big Hero 6,Original Screenplay,Adventure,Digital Animation,True,165000000,11,2014,15809055,3761,0.89,0.74
How to Train Your Dragon,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,165000000,3,2010,12111766,4055,0.99,0.74
Wreck-It Ralph,Original Screenplay,Adventure,Digital Animation,True,165000000,11,2012,14232730,3752,-1,0.72
Interstellar,Original Screenplay,Adventure,Live Action,True,165000000,11,2014,1350209,249,0.72,0.74
Independence Day: Resurgence,Original Screenplay,Action,Live Action,True,165000000,6,2016,16822551,4068,0.29,0.32
Cowboys and Aliens,Based on Comic/Graphic Novel,Action,Live Action,False,163000000,7,2011,13087485,3750,0.45,-1
Beauty and the Beast,Remake,Musical,Animation/Live Action,True,160000000,3,2017,63777443,4210,-1,0.92
Aquaman,Based on Comic/Graphic Novel,Action,Live Action,True,160000000,12,2018,27733155,4125,0.65,0.55
Shrek the Third,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,160000000,5,2007,907339,1000,0.41,0.58
Inception,Original Screenplay,Thriller/Suspense,Animation/Live Action,False,160000000,7,2010,21782199,3792,0.86,0.74
The Hunger Games: Mockingjay - Part 2,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,160000000,11,2015,45579056,4175,-1,0.65
Fast and Furious 6,Based on Factual Book/Article,Action,Live Action,True,160000000,5,2013,38737505,3658,0.7,-1
Godzilla,Remake,Action,Live Action,True,160000000,5,2014,38410607,3952,0.16,0.78
X-Men: First Class,Based on Comic/Graphic Novel,Action,Live Action,True,160000000,6,2011,21398778,3641,-1,0.65
The Curious Case of Benjamin Button,Based on Fiction Book/Short Story,Drama,Live Action,False,160000000,12,2008,11871831,2988,-1,0.7
The Sorcerer's Apprentice,Based on Short Film,Adventure,Animation/Live Action,False,160000000,7,2010,3873997,3385,-1,0.46
Poseidon,Remake,Adventure,Live Action,False,160000000,5,2006,7393250,3555,0.33,0.5
Warcraft,Based on Game,Action,Live Action,True,160000000,6,2016,10701750,3400,0.28,0.32
Deepwater Horizon,Based on Real Life Events,Drama,Live Action,True,156000000,9,2016,7067243,3259,0.83,0.68
The Chronicles of Narnia: The Voyage of the Dawn Treader,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,155000000,12,2010,8255202,3555,-1,0.53
Terminator: Genisys,Original Screenplay,Action,Live Action,True,155000000,7,2015,8930404,3758,0.26,0.38
Pacific Rim: Uprising,Original Screenplay,Action,Live Action,True,155000000,3,2018,10329775,3708,0.44,0.44
Alexander,Based on Real Life Events,Action,Live Action,False,155000000,11,2004,3995000,2445,0.16,0.39
Captain Marvel,Based on Comic/Graphic Novel,Action,Live Action,True,152000000,3,2019,61715051,4310,0.78,0.64
War for the Planet of the Apes,Original Screenplay,Action,Animation/Live Action,True,152000000,7,2017,22111621,4022,0.93,0.82
Pearl Harbor,Based on Real Life Events,Action,Live Action,False,151500000,5,2001,18330000,3214,-1,0.44
Transformers,Based on TV,Action,Animation/Live Action,True,151000000,7,2007,8801025,3050,-1,0.61
Wonder Woman,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,6,2017,38247254,4165,0.82,0.76
Frozen,Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,True,150000000,11,2013,66498,1,0.56,0.43
Zootopia,Original Screenplay,Adventure,Digital Animation,True,150000000,3,2016,19500008,3827,0.97,0.78
Harry Potter and the Order of the Phoenix,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,150000000,7,2007,44232338,4181,0.77,0.71
Harry Potter and the Goblet of Fire,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,150000000,11,2005,40118363,3858,0.88,0.81
The Matrix Reloaded,Original Screenplay,Action,Animation/Live Action,True,150000000,5,2003,42508303,3603,0.73,0.62
I am Legend,Based on Fiction Book/Short Story,Horror,Live Action,False,150000000,12,2007,30059386,3606,0.69,0.65
Moana,Original Screenplay,Musical,Digital Animation,True,150000000,11,2016,15519234,3875,0.83,0.81
Hancock,Original Screenplay,Action,Live Action,True,150000000,7,2008,6835034,3680,0.41,0.49
Charlie and the Chocolate Factory,Remake,Adventure,Live Action,False,150000000,7,2005,20714395,3770,0.82,0.72
Ratatouille,Original Screenplay,Adventure,Digital Animation,False,150000000,6,2007,16452942,3940,0.96,0.96
Thor: The Dark World,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,11,2013,31899210,3841,0.66,0.54
Batman Begins,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,6,2005,15068368,3718,0.84,0.7
Mission: ImpossibleâRogue Nation,Based on TV,Action,Live Action,True,150000000,7,2015,20301126,3956,-1,-1
Dunkirk,Original Screenplay,Action,Live Action,True,150000000,7,2017,19736259,3720,-1,0.94
Thor,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,5,2011,25481796,3955,0.77,0.57
Madagascar: Escape 2 Africa,Original Screenplay,Adventure,Digital Animation,True,150000000,11,2008,17555027,4056,0.63,0.61
X-Men Origins: Wolverine,Spin-Off,Action,Live Action,True,150000000,5,2009,34433831,4099,-1,0.4
Night at the Museum: Battle of the Smithsonian,Based on Fiction Book/Short Story,Adventure,Live Action,True,150000000,5,2009,15568708,4096,-1,0.42
Kung Fu Panda 2,Original Screenplay,Adventure,Digital Animation,True,150000000,5,2011,5804129,3925,-1,0.67
Mad Max: Fury Road,Original Screenplay,Action,Live Action,True,150000000,5,2015,16611428,3702,0.97,0.9
The Matrix Revolutions,Original Screenplay,Action,Live Action,True,150000000,11,2003,24311365,3502,0.36,0.47
Ready Player One,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,150000000,3,2018,11946275,4234,0.72,0.64
Chicken Little,Original Screenplay,Adventure,Digital Animation,False,150000000,11,2005,10571609,3654,0.37,0.48
Mission: Impossible III,Based on TV,Action,Live Action,True,150000000,5,2006,16632157,4054,-1,0.66
Angels & Demons,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,150000000,5,2009,16471357,3527,-1,-1
Troy,Based on Fiction Book/Short Story,Action,Live Action,False,150000000,5,2004,16900000,3411,0.54,0.56
The Last Airbender,Based on TV,Adventure,Live Action,False,150000000,7,2010,17511097,3169,-1,0.2
Bee Movie,Original Screenplay,Adventure,Digital Animation,False,150000000,11,2007,10202024,3928,0.5,0.54
G-Force,Original Screenplay,Adventure,Animation/Live Action,False,150000000,7,2009,11533504,3697,-1,0.41
Bolt,Original Screenplay,Adventure,Digital Animation,False,150000000,11,2008,7036716,3651,0.89,0.67
Wrath of the Titans,Based on Folk Tale/Legend/Fairytale,Adventure,Animation/Live Action,True,150000000,3,2012,12316264,3545,-1,0.37
Beowulf,Based on Fiction Book/Short Story,Adventure,Digital Animation,False,150000000,11,2007,10005134,3153,0.71,0.59
Dark Shadows,Based on TV,Black Comedy,Live Action,False,150000000,5,2012,9673463,3755,0.36,0.55
White House Down,Original Screenplay,Thriller/Suspense,Live Action,False,150000000,6,2013,9025649,3222,0.51,0.52
The Wolfman,Remake,Horror,Live Action,False,150000000,2,2010,9649890,3222,-1,0.43
The Great Wall,Original Screenplay,Action,Live Action,True,150000000,2,2017,5884250,3325,-1,0.42
Pan,Based on Fiction Book/Short Story,Adventure,Live Action,True,150000000,10,2015,5183169,3515,-1,0.36
Mars Needs Moms,Based on Fiction Book/Short Story,Adventure,Digital Animation,False,150000000,3,2011,1722337,3117,0.37,0.49
Flushed Away,Original Screenplay,Adventure,Digital Animation,False,149000000,11,2006,4710515,3707,0.73,0.74
Madagascar 3: Europe's Most Wanted,Original Screenplay,Adventure,Digital Animation,True,145000000,6,2012,20650819,4258,0.79,0.6
Mission: ImpossibleâGhost Protocol,Based on TV,Action,Live Action,True,145000000,12,2011,4102843,425,-1,-1
How to Train Your Dragon 2,Original Screenplay,Adventure,Digital Animation,True,145000000,6,2014,18440040,4253,0.92,0.76
Tarzan,Based on Fiction Book/Short Story,Adventure,Hand Animation,False,145000000,6,1999,75122,2,0.88,0.79
Mr. Peabody & Sherman,Based on TV,Adventure,Digital Animation,True,145000000,3,2014,8018923,3934,-1,-1
Rise of the Guardians,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,145000000,11,2012,4837243,3653,0.74,0.57
Sahara,Based on Fiction Book/Short Story,Adventure,Live Action,False,145000000,4,2005,6150277,3154,-1,0.41
Ghostbusters,Remake,Comedy,Live Action,True,144000000,7,2016,17129166,3963,0.97,0.71
Die Another Day,Based on Fiction Book/Short Story,Action,Live Action,True,142000000,11,2002,16619731,3314,0.57,0.56
Pirates of the Caribbean: The Curse of the Black Pearl,Based on Theme Park Ride,Adventure,Live Action,True,140000000,7,2003,13509262,3023,0.79,0.63
Star Trek,Based on TV,Adventure,Live Action,True,140000000,5,2009,30893975,3849,0.94,0.82
Armageddon,Original Screenplay,Adventure,Live Action,False,140000000,7,1998,9668216,3090,0.38,0.42
Men in Black 2,Based on Comic/Graphic Novel,Action,Animation/Live Action,True,140000000,7,2002,18599621,3557,-1,-1
Captain America: The First Avenger,Based on Comic/Graphic Novel,Action,Live Action,True,140000000,7,2011,25700189,3715,0.8,0.66
Kung Fu Panda 3,Original Screenplay,Adventure,Digital Animation,True,140000000,1,2016,10452621,3955,0.87,0.66
Lethal Weapon 4,Original Screenplay,Action,Live Action,True,140000000,7,1998,11305000,3117,0.52,0.37
G.I. Joe: Retaliation,Based on Toy,Action,Animation/Live Action,True,140000000,3,2013,10506875,3719,0.29,0.41
The Last Samurai,Original Screenplay,Action,Live Action,False,140000000,12,2003,8200000,2908,-1,0.55
Fun With Dick And Jane,Remake,Comedy,Live Action,False,140000000,12,2005,3761129,3056,0.28,0.47
Exodus: Gods and Kings,Based on Religious Text,Drama,Live Action,True,140000000,12,2014,8867545,3503,0.3,0.52
The BFG,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,140000000,7,2016,7084842,3357,-1,0.66
Gods of Egypt,Original Screenplay,Adventure,Live Action,False,140000000,2,2016,4778391,3117,0.15,0.25
Spider-Man,Based on Comic/Graphic Novel,Adventure,Live Action,True,139000000,5,2002,39406872,3615,0.9,0.73
Watchmen,Based on Comic/Graphic Novel,Action,Live Action,False,138000000,3,2009,24515772,3611,0.64,0.56
Stealth,Original Screenplay,Action,Live Action,False,138000000,7,2005,4769491,3495,-1,0.35
The Incredible Hulk,Based on Comic/Graphic Novel,Adventure,Live Action,True,137500000,6,2008,21468125,3505,0.67,0.61
Hulk,Based on Comic/Graphic Novel,Action,Live Action,True,137000000,6,2003,24879000,3660,0.62,0.54
Final Fantasy: The Spirits Within,Based on Game,Adventure,Digital Animation,False,137000000,7,2001,5007886,2382,0.45,0.49
"The Twilight Saga: Breaking Dawn, Part 2",Based on Fiction Book/Short Story,Drama,Live Action,True,136200000,11,2012,71167839,4070,0.49,-1
The Croods,Original Screenplay,Adventure,Digital Animation,True,135000000,3,2013,11645354,4046,0.71,0.55
The Revenant,Based on Fiction Book/Short Story,Adventure,Live Action,True,135000000,12,2015,171758,4,-1,0.57
The World is Not Enough,Based on Fiction Book/Short Story,Action,Live Action,True,135000000,11,1999,12130000,3165,-1,0.57
Rango,Original Screenplay,Adventure,Digital Animation,False,135000000,3,2011,9608091,3917,0.88,0.75
Master and Commander: The Far Side of the World,Based on Fiction Book/Short Story,Adventure,Live Action,False,135000000,11,2003,8156000,3101,0.85,0.81
Turbo,Original Screenplay,Adventure,Digital Animation,False,135000000,7,2013,5552403,3551,-1,0.58
Teenage Mutant Ninja Turtles: Out of the Shadows,Based on Comic/Graphic Novel,Adventure,Animation/Live Action,True,135000000,6,2016,12484117,4071,0.37,-1
Happy Feet Two,Original Screenplay,Adventure,Digital Animation,True,135000000,11,2011,5850626,3606,0.45,0.5
Miami Vice,Based on TV,Action,Live Action,False,135000000,7,2006,9017685,3021,0.45,0.65
The Nutcracker and the Four Realms,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,False,132900000,11,2018,5890162,3766,0.33,0.39
War of the Worlds,Remake,Action,Animation/Live Action,False,132000000,6,2005,21256483,3908,0.75,0.73
Penguins of Madagascar,Spin-Off,Adventure,Digital Animation,True,132000000,11,2014,6138518,3654,0.73,0.53
The Hunger Games: Catching Fire,Based on Fiction Book/Short Story,Adventure,Live Action,True,130000000,11,2013,70950136,4163,0.89,0.76
Harry Potter and the Prisoner of Azkaban,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,130000000,6,2004,38268295,3855,0.9,0.82
The Bourne Ultimatum,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,130000000,8,2007,24668225,3660,-1,0.85
Ant-Man and the Wasp,Based on Comic/Graphic Novel,Action,Live Action,True,130000000,7,2018,33725082,4206,-1,0.7
Kung Fu Panda,Original Screenplay,Adventure,Digital Animation,True,130000000,6,2008,20303918,4114,0.87,0.73
Ant-Man,Based on Comic/Graphic Novel,Action,Live Action,True,130000000,7,2015,22649199,3856,0.82,0.64
Home,Based on Fiction Book/Short Story,Adventure,Digital Animation,True,130000000,3,2015,15716740,3708,-1,0.67
Mary Poppins Returns,Based on Fiction Book/Short Story,Musical,Live Action,True,130000000,12,2018,4763547,4090,0.79,0.66
Puss in Boots,Spin-Off,Adventure,Digital Animation,True,130000000,10,2011,9569130,3952,-1,0.65
Megamind,Original Screenplay,Adventure,Digital Animation,False,130000000,11,2010,12530397,3944,0.72,0.63
