Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic
Cyrus,Original Screenplay,Comedy,Live Action,False,7000000,6,2010,52210,4,0.8,0.74
Outside Providence,Based on Fiction Book/Short Story,Comedy,Live Action,False,7000000,9,1999,292925,1050,0.51,0.62
Bride & Prejudice,Based on Fiction Book/Short Story,Musical,Live Action,False,7000000,2,2005,62979,32,-1,-1
Rabbit-Proof Fence,Based on Fiction Book/Short Story,Drama,Live Action,False,7000000,11,2002,126228,9,0.87,0.8
Who's Your Caddy?,Original Screenplay,Comedy,Live Action,False,7000000,7,2007,952025,1019,0.06,0.18
Split Second,Original Screenplay,Action,Live Action,False,7000000,5,1992,2727117,1085,-1,-1
Nikita,Original Screenplay,Thriller/Suspense,Live Action,False,7000000,4,1991,426221,49,0.88,-1
The Other Side of Heaven,Based on Fiction Book/Short Story,Drama,Live Action,False,7000000,12,2001,96128,2,0.29,0.38
Dark Angel,Original Screenplay,Action,Live Action,False,7000000,9,1990,2588241,1041,-1,-1
American Anthem,Original Screenplay,Drama,Live Action,False,7000000,6,1986,2882859,900,-1,-1
Veer-Zaara,Original Screenplay,Drama,Live Action,False,7000000,11,2004,1144379,88,-1,0.67
Redbelt,Original Screenplay,Action,Live Action,False,7000000,5,2008,314000,1379,0.68,0.69
A Dog of Flanders,Based on Fiction Book/Short Story,Drama,Live Action,False,7000000,8,1999,263000,1270,-1,0.38
Auto Focus,Based on Fiction Book/Short Story,Drama,Live Action,False,7000000,10,2002,177026,11,0.72,0.66
The Mighty Macs,Based on Real Life Events,Drama,Live Action,False,7000000,10,2011,346840,975,0.45,0.49
Somewhere,Original Screenplay,Drama,Live Action,False,7000000,12,2010,28361,7,-1,0.67
We Need to Talk About Kevin,Based on Fiction Book/Short Story,Drama,Live Action,False,7000000,12,2011,39297,1,0.76,0.68
Factory Girl,Based on Real Life Events,Drama,Live Action,False,7000000,2,2007,25000,3,0.19,0.45
The Christmas Candle,Based on Fiction Book/Short Story,Adventure,Live Action,False,7000000,11,2013,79981,5,0.21,0.33
I Hope They Serve Beer in Hell,Based on Fiction Book/Short Story,Comedy,Live Action,False,7000000,9,2009,154454,120,0.2,0.26
Losin' It,Original Screenplay,Comedy,Live Action,False,7000000,-1,-1,-1,-1,-1,0.51
Mother and Child,Original Screenplay,Drama,Live Action,False,7000000,5,2010,17037,33,0.78,0.64
March or Die,-1,-1,-1,False,7000000,-1,-1,-1,-1,-1,-1
Les Visiteurs,Original Screenplay,Comedy,Live Action,True,7000000,7,1996,35182,4,0.31,-1
Freeheld,Based on Short Film,Drama,Live Action,False,7000000,10,2015,14022,5,-1,0.5
