Movie Name,Production budget,Release day revenue,Tomatometer,Metacritic
Big Hero 6,165000000,15809055,0.89,-1
How to Train Your Dragon,165000000,12111766,0.99,-1
Wreck-It Ralph,165000000,14232730,-1,-1
Interstellar,165000000,1350209,0.72,-1
Independence Day: Resurgence,165000000,16822551,0.29,-1
Cowboys and Aliens,163000000,13087485,0.45,-1
Beauty and the Beast,160000000,63777443,-1,-1
Aquaman,160000000,27733155,0.65,-1
Shrek the Third,160000000,907339,0.41,-1
Inception,160000000,21782199,0.86,-1
The Hunger Games: Mockingjay - Part 2,160000000,45579056,-1,-1
Fast and Furious 6,160000000,38737505,0.7,-1
Godzilla,160000000,38410607,0.16,-1
X-Men: First Class,160000000,21398778,-1,-1
The Curious Case of Benjamin Button,160000000,11871831,-1,-1
The Sorcerer's Apprentice,160000000,3873997,-1,-1
Poseidon,160000000,7393250,0.33,-1
Warcraft,160000000,10701750,0.28,-1
Deepwater Horizon,156000000,7067243,0.83,-1
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,8255202,-1,-1
Terminator: Genisys,155000000,8930404,0.26,-1
Pacific Rim: Uprising,155000000,10329775,0.44,-1
Alexander,155000000,3995000,0.16,-1
Captain Marvel,152000000,61715051,0.78,-1
War for the Planet of the Apes,152000000,22111621,0.93,-1
Pearl Harbor,151500000,18330000,-1,-1
Transformers,151000000,8801025,-1,-1
Wonder Woman,150000000,38247254,0.82,-1
Frozen,150000000,66498,0.56,-1
Zootopia,150000000,19500008,0.97,-1
Harry Potter and the Order of the Phoenix,150000000,44232338,0.77,-1
Harry Potter and the Goblet of Fire,150000000,40118363,0.88,-1
The Matrix Reloaded,150000000,42508303,0.73,-1
I am Legend,150000000,30059386,0.69,-1
Moana,150000000,15519234,0.83,-1
Hancock,150000000,6835034,0.41,-1
Charlie and the Chocolate Factory,150000000,20714395,0.82,-1
Ratatouille,150000000,16452942,0.96,-1
Thor: The Dark World,150000000,31899210,0.66,-1
Batman Begins,150000000,15068368,0.84,-1
Mission: ImpossibleâRogue Nation,150000000,20301126,-1,-1
Dunkirk,150000000,19736259,-1,-1
Thor,150000000,25481796,0.77,-1
Madagascar: Escape 2 Africa,150000000,17555027,0.63,-1
X-Men Origins: Wolverine,150000000,34433831,-1,-1
Night at the Museum: Battle of the Smithsonian,150000000,15568708,-1,-1
Kung Fu Panda 2,150000000,5804129,-1,-1
Mad Max: Fury Road,150000000,16611428,0.97,-1
The Matrix Revolutions,150000000,24311365,0.36,-1
Ready Player One,150000000,11946275,0.72,-1
Chicken Little,150000000,10571609,0.37,-1
Mission: Impossible III,150000000,16632157,-1,-1
Angels & Demons,150000000,16471357,-1,-1
Troy,150000000,16900000,0.54,-1
The Last Airbender,150000000,17511097,-1,-1
Bee Movie,150000000,10202024,0.5,-1
G-Force,150000000,11533504,-1,-1
Bolt,150000000,7036716,0.89,-1
Wrath of the Titans,150000000,12316264,-1,-1
Beowulf,150000000,10005134,0.71,-1
Dark Shadows,150000000,9673463,0.36,-1
White House Down,150000000,9025649,0.51,-1
The Wolfman,150000000,9649890,-1,-1
The Great Wall,150000000,5884250,-1,-1
Pan,150000000,5183169,-1,-1
Mars Needs Moms,150000000,1722337,0.37,-1
Flushed Away,149000000,4710515,0.73,-1
Madagascar 3: Europe's Most Wanted,145000000,20650819,0.79,-1
Mission: ImpossibleâGhost Protocol,145000000,4102843,-1,-1
How to Train Your Dragon 2,145000000,18440040,0.92,-1
Tarzan,145000000,75122,0.88,-1
Mr. Peabody & Sherman,145000000,8018923,-1,-1
Rise of the Guardians,145000000,4837243,0.74,-1
Sahara,145000000,6150277,-1,-1
Ghostbusters,144000000,17129166,0.97,-1
Die Another Day,142000000,16619731,0.57,-1
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,13509262,0.79,-1
Star Trek,140000000,30893975,0.94,-1
Armageddon,140000000,9668216,0.38,-1
Men in Black 2,140000000,18599621,-1,-1
Captain America: The First Avenger,140000000,25700189,0.8,-1
Kung Fu Panda 3,140000000,10452621,0.86,-1
Lethal Weapon 4,140000000,11305000,0.52,-1
G.I. Joe: Retaliation,140000000,10506875,0.29,-1
The Last Samurai,140000000,8200000,-1,-1
Fun With Dick And Jane,140000000,3761129,0.28,-1
Exodus: Gods and Kings,140000000,8867545,0.3,-1
The BFG,140000000,7084842,-1,-1
Gods of Egypt,140000000,4778391,0.15,-1
Spider-Man,139000000,39406872,0.9,-1
Watchmen,138000000,24515772,0.64,-1
Stealth,138000000,4769491,-1,-1
The Incredible Hulk,137500000,21468125,0.67,-1
Hulk,137000000,24879000,0.62,-1
Final Fantasy: The Spirits Within,137000000,5007886,0.45,-1
"The Twilight Saga: Breaking Dawn, Part 2",136200000,71167839,0.49,-1
The Croods,135000000,11645354,0.71,-1
The Revenant,135000000,171758,-1,-1
The World is Not Enough,135000000,12130000,-1,-1
Rango,135000000,9608091,0.88,-1
Master and Commander: The Far Side of the World,135000000,8156000,0.85,-1
Turbo,135000000,5552403,-1,-1
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,12484117,0.37,-1
Happy Feet Two,135000000,5850626,0.45,-1
Miami Vice,135000000,9017685,0.45,-1
The Nutcracker and the Four Realms,132900000,5890162,0.33,-1
War of the Worlds,132000000,21256483,0.75,-1
Penguins of Madagascar,132000000,6138518,0.73,-1
The Hunger Games: Catching Fire,130000000,70950136,0.89,-1
Harry Potter and the Prisoner of Azkaban,130000000,38268295,0.9,-1
The Bourne Ultimatum,130000000,24668225,-1,-1
Ant-Man and the Wasp,130000000,33725082,-1,-1
Kung Fu Panda,130000000,20303918,0.87,-1
Ant-Man,130000000,22649199,0.82,-1
Home,130000000,15716740,-1,-1
Mary Poppins Returns,130000000,4763547,0.78,-1
Puss in Boots,130000000,9569130,-1,-1
Megamind,130000000,12530397,0.72,-1
Bad Boys II,130000000,16883057,0.22,-1
Rio 2,130000000,12007367,0.47,-1
Salt,130000000,12532333,-1,-1
Noah,130000000,15183234,0.76,-1
The Adventures of Tintin,130000000,2302020,0.73,-1
After Earth,130000000,9840651,0.11,-1
Australia,130000000,2268558,0.55,-1
R.I.P.D.,130000000,4819880,0.13,-1
How to Train Your Dragon: The Hidden World,129000000,17376690,0.91,-1
"The Twilight Saga: Breaking Dawn, Part 1",127500000,71642526,0.25,-1
Dinosaur,127500000,11255000,-1,-1
Logan,127000000,33005352,-1,-1
Night at the Museum: Secret of the Tomb,127000000,5655945,0.48,-1
Harry Potter and the Deathly Hallows: Part II,125000000,91071119,0.96,-1
The Hunger Games: Mockingjay - Part 1,125000000,55139942,-1,-1
Harry Potter and the Sorcererâs Stone,125000000,32333203,0.81,-1
Harry Potter and the Deathly Hallows: Part I,125000000,61684550,0.78,-1
The Da Vinci Code,125000000,28630324,-1,-1
X-Men 2,125000000,31247979,-1,-1
Fast Five,125000000,34399360,0.77,-1
Teenage Mutant Ninja Turtles,125000000,25602161,0.34,-1
Sherlock Holmes: A Game of Shadows,125000000,14607982,0.6,-1
The Day After Tomorrow,125000000,24700000,-1,-1
The Boss Baby,125000000,15621148,0.52,-1
Clash of the Titans,125000000,2655005,0.68,-1
Trolls,125000000,12373296,0.75,-1
Godzilla,125000000,4088785,0.16,-1
Prometheus,125000000,21466267,-1,-1
The Bourne Legacy,125000000,13931400,0.56,-1
Batman & Robin,125000000,16115353,-1,-1
Skyscraper,125000000,9248305,-1,-1
Total Recall,125000000,9092341,0.82,-1
Assassinâs Creed,125000000,4623401,0.18,-1
Monster Trucks,125000000,2595731,-1,-1
The 13th Warrior,125000000,3381000,-1,-1
How the Grinch Stole Christmas,123000000,15200440,0.51,-1
Mission: Impossible 2,120000000,12516528,0.57,-1
The Perfect Storm,120000000,13240000,0.47,-1
Jason Bourne,120000000,22611225,0.55,-1
Fantastic Four: Rise of the Silver Surfer,120000000,21990579,-1,-1
Life of Pi,120000000,3645051,0.86,-1
Ghost Rider,120000000,15420123,0.27,-1
Rampage,120000000,11543321,-1,-1
Charlie's Angels: Full Throttle,120000000,14611667,0.42,-1
Elysium,120000000,11088228,-1,-1
Oblivion,120000000,13297245,-1,-1
Power Rangers,120000000,14921144,-1,-1
Stuart Little 2,120000000,5314000,0.81,-1
RoboCop,120000000,2808698,0.49,-1
The Chronicles of Riddick,120000000,9900000,-1,-1
Fantastic Four,120000000,11282868,0.27,-1
Speed Racer,120000000,6192227,0.4,-1
The Island,120000000,4202195,-1,-1
How Do You Know?,120000000,2572546,0.32,-1
Knight and Day,117000000,3810649,0.52,-1
Venom,116000000,32503530,-1,-1
Star Wars Ep. I: The Phantom Menace,115000000,28542349,-1,-1
Star Wars Ep. III: Revenge of the Sith,115000000,50013859,-1,-1
Star Wars Ep. II: Attack of the Clones,115000000,30141417,-1,-1
"Monsters, Inc.",115000000,17390000,0.96,-1
The Wolverine,115000000,20655772,-1,-1
Dante's Peak,115000000,22608830,0.24,-1
The Huntsman: Winterâs War,115000000,7271320,0.17,-1
Windtalkers,115000000,4400000,0.32,-1
AstÃ©rix aux Jeux Olympiques,113500000,275637,-1,-1
Gulliver's Travels,112000000,3428531,-1,-1
Ferdinand,111000000,3627780,0.72,-1
Deadpool 2,110000000,53034421,0.83,-1
Gravity,110000000,17484818,-1,-1
Night at the Museum,110000000,12134015,0.43,-1
Mr. and Mrs. Smith,110000000,17474908,0.59,-1
San Andreas,110000000,18148048,0.51,-1
The Smurfs,110000000,13260814,0.22,-1
Live Free or Die Hard,110000000,9111638,0.82,-1
The Divergent Series: Insurgent,110000000,21146942,0.28,-1
Ocean's Twelve,110000000,14500000,0.55,-1
Tomorrow Never Dies,110000000,8570000,0.58,-1
The Patriot,110000000,5015267,-1,-1
300: Rise of an Empire,110000000,17454309,-1,-1
The Aviator,110000000,250000,-1,-1
Passengers,110000000,4106572,-1,-1
The Green Hornet,110000000,11096425,-1,-1
Miss Peregrineâs Home for Peculiar Children,110000000,9041770,0.65,-1
Real Steel,110000000,8533690,0.6,-1
The A-Team,110000000,9660560,-1,-1
The Smurfs 2,110000000,5203980,0.14,-1
The Divergent Series: Allegiant,110000000,11935887,0.11,-1
The Taking of Pelham 123,110000000,8234347,-1,-1
Ender's Game,110000000,9825482,0.61,-1
Home on the Range,110000000,4030000,0.53,-1
Speed 2: Cruise Control,110000000,2260207,0.04,-1
Kingdom of Heaven,110000000,7147738,0.39,-1
Ghost in the Shell,110000000,7660626,0.96,-1
Around the World in 80 Days,110000000,1426000,-1,-1
The Lord of the Rings: The Fellowship of the Ring,109000000,18214211,0.91,-1
The Cat in the Hat,109000000,11200000,-1,-1
Ali,109000000,10216625,0.67,-1
The Martian,108000000,18145681,0.91,-1
Allied,106000000,2702288,0.6,-1
"I, Robot",105000000,17800000,0.56,-1
Stuart Little,105000000,3688000,0.67,-1
The Princess and the Frog,105000000,276860,-1,-1
"10,000 B.C.",105000000,12506898,-1,-1
Ice Age: Collision Course,105000000,7919094,0.17,-1
Town & Country,105000000,994000,-1,-1
Kingsman: The Golden Circle,104000000,15273268,0.53,-1
Gone in 60 Seconds,103300000,9311978,-1,-1
Gladiator,103000000,11683107,0.76,-1
The Hangover 3,103000000,11789463,-1,-1
A Wrinkle in Time,103000000,10208602,-1,-1
Public Enemies,102500000,8165025,-1,-1
Casino Royale,102000000,14741135,0.94,-1
Minority Report,102000000,11346000,0.91,-1
Bumblebee,102000000,8501129,0.93,-1
