Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic,Release day revenue / production budget,Rotten Tomatoes Audience
TMNT,Based on Comic/Graphic Novel,Action,Digital Animation,True,35000000,3,2007,8741441,3110,0.34,0.41,0.24975545714285713,0.6
Radio,Based on Real Life Events,Drama,Live Action,False,35000000,10,2003,4432000,3074,0.36,0.38,0.12662857142857142,0.79
Sicario: Day of the Soldado,Original Screenplay,Action,Live Action,True,35000000,6,2018,7483029,3055,0.63,0.61,0.21380082857142857,0.65
Old Dogs,Original Screenplay,Comedy,Live Action,False,35000000,11,2009,3150000,3389,-1.0,0.19,0.09,-1.0
Malcolm X,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,11,1992,14564862,1124,-1.0,0.72,0.4161389142857143,-1.0
Poltergeist,Remake,Horror,Live Action,False,35000000,5,2015,9347332,3240,0.86,0.47,0.26706662857142854,0.78
Goosebumps 2: Haunted Halloween,Based on Fiction Book/Short Story,Horror,Live Action,True,35000000,10,2018,4820864,3521,0.46,0.53,0.13773897142857142,0.41
12 Strong,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,1,2018,5672828,3002,0.51,0.54,0.1620808,0.63
Underworld 3: Rise of the Lycans,Original Screenplay,Action,Live Action,True,35000000,1,2009,8028294,2942,-1.0,-1.0,0.22937982857142858,-1.0
Must Love Dogs,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,False,35000000,7,2005,4522499,2505,0.36,0.46,0.12921425714285714,0.5
License to Wed,Original Screenplay,Romantic Comedy,Live Action,False,35000000,7,2007,2200000,2401,0.07,0.25,0.06285714285714286,0.53
Donnie Brasco,Based on Real Life Events,Drama,Live Action,False,35000000,2,1997,15522931,1503,0.88,0.76,0.4435123142857143,0.89
Max Payne,Based on Game,Action,Live Action,False,35000000,10,2008,7041836,3376,0.16,0.31,0.2011953142857143,0.29
Resident Evil,Based on Game,Horror,Live Action,True,35000000,3,2002,6724000,2528,0.34,0.33,0.1921142857142857,0.67
The Ladykillers,Remake,Comedy,Live Action,False,35000000,3,2004,4200000,1583,-1.0,0.56,0.12,-1.0
Something Borrowed,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,False,35000000,5,2011,4792585,2904,-1.0,0.36,0.136931,-1.0
The Nativity Story,Based on Religious Text,Drama,Live Action,False,35000000,12,2006,2400000,3083,-1.0,0.52,0.06857142857142857,-1.0
In Time,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,10,2011,4286983,3122,0.37,0.53,0.12248522857142857,0.51
The Back-up Plan,Original Screenplay,Romantic Comedy,Live Action,False,35000000,4,2010,4257676,3280,-1.0,0.34,0.12164788571428571,-1.0
J. Edgar,Based on Real Life Events,Drama,Live Action,False,35000000,11,2011,52645,7,0.42,0.59,0.001504142857142857,0.44
Bounce,Original Screenplay,Drama,Live Action,False,35000000,11,2000,3075155,1918,0.52,0.52,0.08786157142857143,0.32
Mile 22,Original Screenplay,Action,Live Action,False,35000000,8,2018,5245939,3520,0.22,0.38,0.14988397142857143,0.44
Hot Pursuit,Original Screenplay,Comedy,Live Action,False,35000000,5,2015,4196921,3003,-1.0,0.31,0.11991202857142857,-1.0
Concussion,Based on Factual Book/Article,Drama,Live Action,False,35000000,12,2015,4254082,2841,0.74,0.56,0.1215452,0.49
The Foreigner,Based on Fiction Book/Short Story,Action,Live Action,False,35000000,10,2017,4769487,2515,-1.0,0.55,0.13627105714285714,-1.0
Closer,Based on Play,Drama,Live Action,False,35000000,12,2004,2600000,476,0.68,0.65,0.07428571428571429,0.81
Street Fighter,Based on Game,Action,Live Action,True,35000000,12,1994,14112320,1671,-1.0,-1.0,0.4032091428571429,-1.0
Black Knight,Original Screenplay,Adventure,Live Action,False,35000000,11,2001,1826000,2570,0.14,0.32,0.05217142857142857,0.33
The Bad News Bears,Remake,Comedy,Live Action,False,35000000,7,2005,4150091,3183,-1.0,0.83,0.11857402857142857,-1.0
The Pianist,Based on Real Life Events,Drama,Live Action,False,35000000,4,2003,218000,773,-1.0,0.85,0.006228571428571429,-1.0
House of Wax,Remake,Horror,Live Action,False,35000000,5,2005,4852597,3111,0.25,0.41,0.13864562857142856,0.42
From Hell,Based on Comic/Graphic Novel,Thriller/Suspense,Live Action,False,35000000,10,2001,3815000,2305,0.57,0.54,0.109,0.66
Mirrors,Remake,Horror,Live Action,False,35000000,8,2008,4235115,2664,-1.0,0.35,0.12100328571428572,-1.0
Underworld: Blood Wars,Based on Folk Tale/Legend/Fairytale,Action,Live Action,True,35000000,1,2017,4870916,3070,-1.0,0.23,0.13916902857142857,-1.0
Queen of the Damned,Based on Fiction Book/Short Story,Horror,Live Action,False,35000000,2,2002,5862000,2511,0.17,0.3,0.1674857142857143,0.66
Nanny McPhee and the Big Bang,Based on Fiction Book/Short Story,Adventure,Live Action,True,35000000,8,2010,2672640,2784,0.76,-1.0,0.07636114285714286,0.55
Untraceable,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,1,2008,3719238,2368,-1.0,0.32,0.10626394285714286,-1.0
Predator 2,Original Screenplay,Action,Live Action,True,35000000,11,1990,11068948,1950,0.27,0.46,0.31625565714285714,0.43
Abduction,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,9,2011,3844222,3118,-1.0,0.25,0.10983491428571429,-1.0
Flash Gordon,Based on Comic/Graphic Novel,Action,Live Action,False,35000000,-1,-1,-1,-1,-1.0,0.58,-2.8571428571428572e-08,-1.0
Superhero Movie,Original Screenplay,Comedy,Live Action,False,35000000,3,2008,3472023,2960,-1.0,0.33,0.09920065714285714,-1.0
Blast from the Past,Original Screenplay,Comedy,Live Action,False,35000000,2,1999,2040000,2542,0.57,0.48,0.05828571428571429,0.56
Alex Cross,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,35000000,10,2012,4030024,2539,0.12,0.3,0.11514354285714286,0.47
Jersey Girl,Original Screenplay,Comedy,Live Action,False,35000000,3,2004,3000000,1520,0.41,0.43,0.08571428571428572,0.48
Midnight in the Garden of Good and Evil,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,11,1997,1560000,824,0.49,0.57,0.044571428571428574,0.65
Bridget Jonesâs Baby,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,True,35000000,9,2016,3109180,2927,0.78,0.59,0.08883371428571428,0.65
Heist,Original Screenplay,Action,Live Action,False,35000000,11,2001,2490000,1891,-1.0,0.66,0.07114285714285715,-1.0
Hoffa,Based on Real Life Events,Drama,Live Action,False,35000000,12,1992,10645526,1066,0.54,0.5,0.3041578857142857,0.59
Whiskey Tango Foxtrot,Based on Factual Book/Article,Comedy,Live Action,True,35000000,3,2016,2425301,2374,0.67,0.57,0.06929431428571428,0.55
Ella Enchanted,Based on Fiction Book/Short Story,Comedy,Live Action,False,35000000,4,2004,2771000,1931,0.5,0.53,0.07917142857142857,0.57
Hitman: Agent 47,Based on Game,Action,Live Action,True,35000000,8,2015,3127194,3261,0.09,0.28,0.0893484,0.4
The X-Files: I Want to Believe,Based on TV,Action,Live Action,True,35000000,7,2008,3993442,3185,-1.0,0.47,0.11409834285714286,-1.0
Premium Rush,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,8,2012,1964788,2255,0.74,0.66,0.0561368,0.6
Broken City,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,1,2013,2948119,2620,0.29,0.49,0.08423197142857143,0.4
Valiant,Original Screenplay,Adventure,Digital Animation,False,35000000,8,2005,1864958,2014,0.32,0.45,0.053284514285714284,0.29
Wonder Boys,Based on Fiction Book/Short Story,Comedy,Live Action,False,35000000,2,2000,1578000,1250,0.82,0.73,0.045085714285714285,0.83
Cursed,Original Screenplay,Horror,Live Action,False,35000000,2,2005,3700000,2805,-1.0,0.31,0.10571428571428572,-1.0
Walk Hard: The Dewey Cox Story,Original Screenplay,Comedy,Live Action,False,35000000,12,2007,1496473,2650,-1.0,0.63,0.04275637142857143,-1.0
The Four Feathers,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,9,2002,2331084,1912,-1.0,0.49,0.0666024,-1.0
Furry Vengeance,Original Screenplay,Adventure,Live Action,False,35000000,4,2010,1752086,2997,-1.0,0.23,0.0500596,-1.0
Parker,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,35000000,1,2013,2148238,2224,-1.0,0.42,0.06137822857142857,-1.0
Wimbledon,Original Screenplay,Romantic Comedy,Live Action,False,35000000,9,2004,2700000,2033,0.61,0.59,0.07714285714285714,0.57
Bait,Original Screenplay,Action,Live Action,False,35000000,9,2000,1668000,2352,-1.0,0.39,0.047657142857142856,-1.0
Dungeons and Dragons,Based on Game,Adventure,Live Action,True,35000000,12,2000,2810000,2078,0.1,-1.0,0.08028571428571428,0.19
Lions for Lambs,Original Screenplay,Drama,Live Action,False,35000000,11,2007,2204530,2215,0.27,0.47,0.06298657142857143,0.47
Flight of the Intruder,Based on Fiction Book/Short Story,Action,Live Action,False,35000000,1,1991,6718827,1489,0.25,-1.0,0.1919664857142857,0.5
The Tree of Life,Original Screenplay,Drama,Live Action,False,35000000,5,2011,120130,4,-1.0,0.85,0.003432285714285714,-1.0
American Outlaws,Original Screenplay,Western,Live Action,False,35000000,8,2001,1600000,2348,0.14,0.25,0.045714285714285714,0.68
Zoom,Based on Comic/Graphic Novel,Adventure,Live Action,False,35000000,8,2006,1576554,2501,0.03,0.26,0.0450444,0.32
The Shipping News,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,12,2001,1563946,186,-1.0,0.47,0.04468417142857143,-1.0
The Young Victoria,Based on Real Life Events,Drama,Live Action,False,35000000,12,2009,45864,20,-1.0,0.64,0.0013104,-1.0
Sabotage,Original Screenplay,Action,Live Action,False,35000000,3,2014,1832067,2486,-1.0,0.41,0.05234477142857143,-1.0
Knock Off,Original Screenplay,Action,Live Action,False,35000000,9,1998,1445000,1800,0.08,0.37,0.04128571428571429,0.24
Whiteout,Based on Comic/Graphic Novel,Thriller/Suspense,Live Action,False,35000000,9,2009,1770434,2745,-1.0,0.28,0.05058382857142857,-1.0
Unfinished Business,Original Screenplay,Comedy,Live Action,False,35000000,3,2015,1802993,2777,-1.0,0.32,0.051514085714285715,-1.0
The Walk,Based on Real Life Events,Drama,Live Action,False,35000000,9,2015,240379,448,-1.0,0.7,0.006867971428571429,-1.0
The Fountain,Original Screenplay,Drama,Live Action,False,35000000,11,2006,826099,1472,0.52,0.51,0.02360282857142857,0.74
Mandela: Long Walk to Freedom,Based on Real Life Events,Drama,Live Action,False,35000000,11,2013,30700,4,0.6,0.6,0.0008771428571428572,0.68
Punisher: War Zone,Based on Comic/Graphic Novel,Action,Live Action,True,35000000,12,2008,1665020,2508,0.29,0.3,0.047572,0.42
The Order,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,9,2003,1589000,1975,0.0,0.21,0.0454,0.28
A Good Year,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,11,2006,1259542,2066,-1.0,0.47,0.03598691428571429,-1.0
The Brothers Grimsby,Original Screenplay,Comedy,Live Action,True,35000000,3,2016,1206061,2235,0.38,0.44,0.034458885714285716,0.41
The Snowman,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,35000000,10,2017,1339310,1812,-1.0,0.23,0.038266,-1.0
Femme Fatale,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,11,2002,346000,1066,-1.0,0.59,0.009885714285714286,-1.0
Warriors of Virtue,Original Screenplay,Action,Live Action,False,35000000,5,1997,3846785,2101,0.18,-1.0,0.10990814285714286,0.45
Luther,Based on Real Life Events,Drama,Live Action,False,35000000,9,2003,1273117,401,-1.0,0.47,0.03637477142857143,-1.0
Biutiful,Original Screenplay,Drama,Live Action,False,35000000,12,2010,9629,2,0.66,0.58,0.0002751142857142857,0.75
Radio Flyer,Original Screenplay,Drama,Live Action,False,35000000,-1,-1,-1,-1,0.33,-1.0,-2.8571428571428572e-08,0.72
Bound by Honor,Original Screenplay,-1,-1,False,35000000,-1,-1,-1,-1,0.55,-1.0,-2.8571428571428572e-08,0.94
A Hologram for the King,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,4,2016,379157,401,0.72,0.58,0.010833057142857143,0.55
Smilla's Sense of Snow,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,35000000,2,1997,150452,8,0.52,0.45,0.004298628571428572,0.57
Playing for Keeps,Original Screenplay,Romantic Comedy,Live Action,False,35000000,-1,-1,-1,-1,-1.0,0.27,-2.8571428571428572e-08,-1.0
Lion of the Desert,Based on Real Life Events,Drama,Live Action,False,35000000,-1,-1,-1,-1,0.8,-1.0,-2.8571428571428572e-08,0.93
Le hussard sur le toit,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,5,1996,299558,25,-1.0,-1.0,0.0085588,-1.0
Ride With the Devil,Based on Fiction Book/Short Story,Western,Live Action,False,35000000,11,1999,86476,8,-1.0,0.69,0.0024707428571428573,-1.0
Stolen,Original Screenplay,Action,Live Action,False,35000000,9,2012,257499,141,0.67,0.34,0.007357114285714286,0.47
Trespass,Original Screenplay,Thriller/Suspense,Live Action,False,35000000,-1,-1,-1,-1,0.69,0.37,-2.8571428571428572e-08,0.47
Bandidas,Original Screenplay,Western,Live Action,False,35000000,-1,-1,-1,-1,0.62,-1.0,-2.8571428571428572e-08,0.43
The Lovers,Original Screenplay,Adventure,Live Action,False,35000000,-1,-1,-1,-1,0.9,0.19,-2.8571428571428572e-08,0.8
Black Water Transit,Based on Fiction Book/Short Story,Drama,Live Action,False,35000000,-1,-1,-1,-1,-1.0,-1.0,-2.8571428571428572e-08,-1.0
The Darkest Hour,Original Screenplay,Action,Live Action,False,34800000,12,2011,2993519,2324,0.12,0.18,0.08602066091954023,0.25
Baby Driver,Original Screenplay,Thriller/Suspense,Live Action,True,34000000,6,2017,5706745,3226,0.93,0.86,0.1678454411764706,0.86
The Maze Runner,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,34000000,9,2014,11260861,3604,0.65,0.57,0.33120179411764705,0.68
The Longest Ride,Based on Fiction Book/Short Story,Drama,Live Action,True,34000000,4,2015,5514221,3366,0.31,0.33,0.1621829705882353,0.71
The Age of Innocence,Based on Fiction Book/Short Story,Drama,Live Action,False,34000000,9,1993,3338814,83,-1.0,0.9,0.09820041176470588,-1.0
Gake no ue no Ponyo,Original Screenplay,Adventure,Hand Animation,False,34000000,8,2009,1174539,927,-1.0,-1.0,0.03454526470588235,-1.0
The Darkest Minds,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,34000000,8,2018,2330430,3127,0.17,0.39,0.06854205882352941,0.74
Chill Factor,Original Screenplay,Action,Live Action,False,34000000,9,1999,428136,2346,0.11,0.33,0.012592235294117647,0.3
The Astronaut's Wife,Original Screenplay,Thriller/Suspense,Live Action,False,34000000,8,1999,1174000,2206,0.15,0.37,0.034529411764705885,0.33
I Dreamed of Africa,Based on Fiction Book/Short Story,Drama,Live Action,False,34000000,5,2000,683959,1965,0.1,0.33,0.020116441176470587,0.56
Thunder and the House of Magic,Original Screenplay,Adventure,Digital Animation,False,34000000,-1,-1,-1,-1,0.73,0.47,-2.9411764705882354e-08,0.53
Reds,Based on Fiction Book/Short Story,Drama,Live Action,False,33500000,1,1982,22260637,665,0.92,0.76,0.6644966268656717,0.82
A Few Good Men,Based on Play,Drama,Live Action,False,33000000,12,1992,20856522,1925,-1.0,0.62,0.6320158181818182,-1.0
Big Momma's House,Original Screenplay,Comedy,Live Action,True,33000000,6,2000,7651530,2802,0.3,0.33,0.23186454545454546,0.57
Exit Wounds,Based on Fiction Book/Short Story,Action,Live Action,False,33000000,3,2001,6386000,2830,0.32,0.39,0.19351515151515153,0.45
Mike and Dave Need Wedding Dates,Original Screenplay,Comedy,Live Action,True,33000000,7,2016,6635592,2982,0.36,-1.0,0.20107854545454545,0.51
Step Up Revolution,Original Screenplay,Drama,Live Action,True,33000000,7,2012,4929590,2567,0.42,0.43,0.14938151515151515,0.68
Snakes on a Plane,Original Screenplay,Thriller/Suspense,Live Action,False,33000000,8,2006,6400000,3555,0.69,0.58,0.19393939393939394,0.49
The Punisher,Based on Comic/Graphic Novel,Action,Live Action,True,33000000,4,2004,5200000,2649,-1.0,0.33,0.15757575757575756,-1.0
The Watcher,Original Screenplay,Thriller/Suspense,Live Action,False,33000000,9,2000,2794000,2740,-1.0,0.22,0.08466666666666667,-1.0
Safe,Original Screenplay,Action,Live Action,False,33000000,4,2012,2620179,2266,0.85,0.55,0.07939936363636364,0.76
Doomsday,Original Screenplay,Action,Live Action,False,33000000,3,2008,1693445,1936,0.51,0.51,0.051316515151515155,0.44
Pushing Tin,Based on Factual Book/Article,Comedy,Live Action,False,33000000,4,1999,1175000,1283,0.48,0.47,0.035606060606060606,0.42
Goal! The Dream Begins,Original Screenplay,Drama,Live Action,True,33000000,5,2006,667124,1007,-1.0,-1.0,0.02021587878787879,-1.0
The Young and Prodigious T.S. Spivet,Original Screenplay,Adventure,Live Action,False,33000000,7,2015,8674,100,0.77,0.53,0.00026284848484848486,0.7
Star Wars Ep. VI: Return of the Jedi,Original Screenplay,Adventure,Live Action,True,32500000,5,1983,6219629,1002,-1.0,-1.0,0.1913732,-1.0
Bridesmaids,Original Screenplay,Comedy,Live Action,False,32500000,5,2011,7834830,2918,-1.0,0.75,0.24107169230769232,-1.0
The Reader,Based on Fiction Book/Short Story,Drama,Live Action,False,32500000,12,2008,174778,116,-1.0,0.58,0.005377784615384616,-1.0
The Big Wedding,Remake,Romantic Comedy,Live Action,False,32500000,4,2013,2576573,2633,0.07,0.28,0.07927916923076923,0.41
Wanderlust,Original Screenplay,Comedy,Live Action,False,32500000,2,2012,2172165,2002,-1.0,0.53,0.06683584615384615,-1.0
Elf,Original Screenplay,Adventure,Live Action,True,32000000,11,2003,9151000,3337,0.83,0.64,0.28596875,0.78
Phenomenon,Original Screenplay,Drama,Live Action,False,32000000,7,1996,33358201,1637,0.5,0.41,1.04244378125,0.59
This is the End,Based on Short Film,Comedy,Live Action,True,32000000,6,2013,7815952,3055,0.83,0.67,0.2442485,0.71
Snow Dogs,Based on Fiction Book/Short Story,Adventure,Live Action,False,32000000,1,2002,4193000,2302,0.24,0.29,0.13103125,0.39
Nacho Libre,Original Screenplay,Comedy,Live Action,False,32000000,6,2006,10800231,3070,0.4,0.52,0.33750721875,0.54
Scrooged,Based on Fiction Book/Short Story,Comedy,Live Action,False,32000000,11,1988,16261322,1262,0.7,0.38,0.5081663125,0.7
Takers,Original Screenplay,Drama,Live Action,False,32000000,8,2010,7476207,2206,0.29,0.45,0.23363146875,0.62
Source Code,Original Screenplay,Thriller/Suspense,Live Action,False,32000000,4,2011,5053494,2961,0.92,0.74,0.1579216875,0.82
Stigmata,Original Screenplay,Horror,Live Action,False,32000000,9,1999,6580000,2899,0.22,0.28,0.205625,0.63
Men of Honor,Based on Real Life Events,Drama,Live Action,False,32000000,11,2000,4326000,2090,0.42,0.56,0.1351875,0.81
I Feel Pretty,Original Screenplay,Comedy,Live Action,True,32000000,4,2018,6199651,3440,0.35,0.48,0.19373909375,0.34
The Transporter 2,Original Screenplay,Action,Live Action,True,32000000,9,2005,5573130,3303,-1.0,-1.0,0.1741603125,-1.0
"Big Mommas: Like Father, Like Son",Original Screenplay,Comedy,Live Action,True,32000000,2,2011,4782465,2821,0.05,0.22,0.14945203125,0.58
Alive,Based on Fiction Book/Short Story,Drama,Live Action,False,32000000,1,1993,10308595,1132,-1.0,-1.0,0.32214359375,-1.0
1941,Original Screenplay,Comedy,Live Action,False,32000000,-1,-1,-1,-1,0.39,0.34,-3.125e-08,0.48
Dreamer: Inspired by a True Story,Based on Real Life Events,Drama,Live Action,False,32000000,10,2005,2743429,2007,-1.0,0.59,0.08573215625,-1.0
A History of Violence,Based on Comic/Graphic Novel,Drama,Live Action,False,32000000,9,2005,2600000,1340,0.87,0.81,0.08125,0.76
The Incredible Burt Wonderstone,Original Screenplay,Comedy,Live Action,False,32000000,3,2013,3708678,3160,0.37,0.44,0.1158961875,0.33
The Quick and the Dead,Original Screenplay,Western,Live Action,False,32000000,2,1995,8435714,2158,-1.0,0.49,0.2636160625,-1.0
Laws of Attraction,Original Screenplay,Romantic Comedy,Live Action,False,32000000,4,2004,2300000,2449,0.18,0.38,0.071875,0.47
Bad Times at the El Royale,Original Screenplay,Thriller/Suspense,Live Action,False,32000000,10,2018,2810478,2808,0.75,0.6,0.0878274375,0.73
Going the Distance,Original Screenplay,Romantic Comedy,Live Action,False,32000000,9,2010,2229382,3030,-1.0,0.51,0.0696681875,-1.0
Bringing Out The Dead,Based on Fiction Book/Short Story,Black Comedy,Live Action,False,32000000,10,1999,1925000,1936,0.71,0.7,0.06015625,0.7
Repo Men,Based on Fiction Book/Short Story,Action,Live Action,False,32000000,3,2010,2168125,2521,-1.0,0.32,0.06775390625,-1.0
Dragon Wars: D-War,Based on Folk Tale/Legend/Fairytale,Action,Live Action,False,32000000,9,2007,1601000,2275,-1.0,0.33,0.05003125,-1.0
Bogus,Original Screenplay,Comedy,Live Action,False,32000000,9,1996,2408170,1134,0.44,-1.0,0.0752553125,0.44
Cats Don't Dance,Original Screenplay,Musical,Hand Animation,False,32000000,3,1997,1996543,1252,0.74,-1.0,0.06239196875,0.79
Cradle Will Rock,Original Screenplay,Drama,Live Action,False,32000000,1,2000,28784,56,0.64,0.64,0.0008995,0.71
The Good German,Based on Fiction Book/Short Story,Drama,Live Action,False,32000000,12,2006,39818,19,0.33,0.49,0.0012443125,0.34
George and the Dragon,Original Screenplay,-1,-1,False,32000000,-1,-1,-1,-1,-1.0,-1.0,-3.125e-08,-1.0
Apocalypse Now,Based on Fiction Book/Short Story,Action,Live Action,False,31500000,-1,-1,-1,-1,0.96,0.94,-3.1746031746031744e-08,0.94
Criminal,Original Screenplay,Action,Live Action,True,31500000,4,2016,2049390,2683,-1.0,0.61,0.06506,-1.0
42,Based on Real Life Events,Drama,Live Action,True,31000000,4,2013,9061823,3003,-1.0,0.62,0.29231687096774195,-1.0
Flight,Original Screenplay,Drama,Live Action,False,31000000,11,2012,8151438,1884,-1.0,0.76,0.2629496129032258,-1.0
Mr. Hollandâs Opus,Original Screenplay,Drama,Live Action,False,31000000,1,1996,12046898,1409,0.75,0.59,0.3886096129032258,0.83
Out of Africa,Based on Fiction Book/Short Story,Drama,Live Action,False,31000000,12,1985,7598730,922,0.6,-1.0,0.24512032258064517,0.83
Moonraker,Based on Fiction Book/Short Story,Action,Live Action,True,31000000,-1,-1,-1,-1,-1.0,0.66,-3.2258064516129035e-08,-1.0
The Grand Budapest Hotel,Original Screenplay,Comedy,Live Action,True,31000000,3,2014,260447,4,0.91,0.88,0.008401516129032258,0.86
Vacation,Original Screenplay,Comedy,Live Action,True,31000000,7,2015,3821231,3310,-1.0,0.55,0.12326551612903226,-1.0
Arachnophobia,Original Screenplay,Thriller/Suspense,Live Action,False,31000000,7,1990,13261916,1479,0.92,0.67,0.42780374193548387,0.54
Isnât it Romantic,Original Screenplay,Romantic Comedy,Live Action,True,31000000,2,2019,1825164,3444,-1.0,0.6,0.05887625806451613,-1.0
Frequency,Original Screenplay,Drama,Live Action,False,31000000,4,2000,2844785,2621,0.7,0.67,0.09176725806451613,0.81
Hearts in Atlantis,Based on Fiction Book/Short Story,Drama,Live Action,False,31000000,9,2001,2811000,1751,0.49,0.55,0.09067741935483871,0.64
Extraordinary Measures,Based on Real Life Events,Drama,Live Action,False,31000000,1,2010,2037966,2545,0.29,0.45,0.06574083870967742,0.53
Birth of the Dragon,Based on Real Life Events,Action,Live Action,False,31000000,8,2017,1111325,1618,0.24,0.35,0.035849193548387094,0.69
Get Shorty,Based on Fiction Book/Short Story,Comedy,Live Action,True,30250000,10,1995,16781624,1612,0.87,0.82,0.5547644297520661,0.7
Ghostbusters,Original Screenplay,Adventure,Live Action,True,30000000,8,2014,491497,784,0.97,0.71,0.016383233333333334,0.88
Toy Story,Original Screenplay,Adventure,Digital Animation,True,30000000,11,1995,34579405,2457,1.0,0.95,1.1526468333333333,0.92
Crazy Rich Asians,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,True,30000000,8,2018,5013478,3303,0.91,0.74,0.16711593333333333,0.77
Chicago,Based on Musical or Opera,Musical,Live Action,False,30000000,1,2003,1503000,304,0.85,0.82,0.0501,0.83
Big Daddy,Original Screenplay,Comedy,Live Action,False,30000000,6,1999,14500000,3027,0.4,0.41,0.48333333333333334,0.74
American Pie 2,Original Screenplay,Comedy,Live Action,True,30000000,8,2001,16227500,3058,0.52,0.43,0.5409166666666667,0.67
The Vow,Based on Real Life Events,Drama,Live Action,False,30000000,2,2012,15293042,2958,-1.0,0.43,0.5097680666666666,-1.0
Speed,Original Screenplay,Action,Live Action,True,30000000,6,1994,22745474,2138,-1.0,0.78,0.7581824666666667,-1.0
The Hunt for Red October,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,True,30000000,3,1990,23597892,1225,-1.0,0.58,0.7865964,-1.0
Lee Daniels' The Butler,Based on Real Life Events,Drama,Live Action,False,30000000,8,2013,8322061,2933,0.71,0.66,0.27740203333333335,0.78
Remember the Titans,Based on Real Life Events,Drama,Live Action,False,30000000,9,2000,6891000,1865,0.73,0.48,0.2297,0.93
District 9,Original Screenplay,Thriller/Suspense,Animation/Live Action,False,30000000,8,2009,14163902,3049,0.9,0.81,0.4721300666666667,0.82
Dodgeball: A True Underdog Story,Original Screenplay,Comedy,Live Action,False,30000000,6,2004,11300000,2694,0.7,0.55,0.37666666666666665,0.76
The Addams Family,Based on TV,Comedy,Live Action,True,30000000,11,1991,35428521,2411,-1.0,0.57,1.1809507,-1.0
Ace Ventura: When Nature Calls,Original Screenplay,Comedy,Live Action,True,30000000,11,1995,45510178,2652,0.33,0.45,1.5170059333333332,0.72
The Princess Diaries,Based on Fiction Book/Short Story,Comedy,Live Action,True,30000000,8,2001,8170500,2537,-1.0,0.52,0.27235,-1.0
Analyze This,Original Screenplay,Comedy,Live Action,True,30000000,3,1999,5155000,2518,0.7,0.61,0.17183333333333334,0.62
The First Wives Club,Based on Fiction Book/Short Story,Comedy,Live Action,False,30000000,9,1996,26470210,1922,-1.0,0.58,0.8823403333333333,-1.0
Million Dollar Baby,Based on Fiction Book/Short Story,Drama,Live Action,False,30000000,1,2005,471671,122,0.91,0.86,0.015722366666666668,0.9
Se7en,Original Screenplay,Thriller/Suspense,Live Action,False,30000000,9,1995,18427014,2441,-1.0,0.65,0.6142338,-1.0
Mystic River,Based on Fiction Book/Short Story,Drama,Live Action,False,30000000,10,2003,1061000,1467,0.88,0.84,0.035366666666666664,0.89
Sisters,Original Screenplay,Comedy,Live Action,False,30000000,12,2015,4962215,2962,-1.0,0.58,0.16540716666666666,-1.0
Pokemon: The First Movie,Based on TV,Adventure,Hand Animation,True,30000000,11,1999,10096848,2901,-1.0,-1.0,0.3365616,-1.0
SpongeBob SquarePants: The Movie,Based on TV,Adventure,Hand Animation,True,30000000,11,2004,9400000,3212,-1.0,-1.0,0.31333333333333335,-1.0
Up in the Air,Based on Fiction Book/Short Story,Drama,Live Action,False,30000000,12,2009,329119,15,-1.0,0.83,0.010970633333333334,-1.0
The Notebook,Based on Fiction Book/Short Story,Drama,Live Action,False,30000000,6,2004,5300000,2303,0.53,0.53,0.17666666666666667,0.85
Hannah Montana the Movie,Based on TV,Drama,Live Action,False,30000000,4,2009,17436095,3118,0.44,0.47,0.5812031666666667,0.66
27 Dresses,Original Screenplay,Romantic Comedy,Live Action,False,30000000,1,2008,7772852,3057,0.4,0.47,0.25909506666666665,0.57
Rugrats in Paris,Based on TV,Adventure,Hand Animation,True,30000000,11,2000,4360332,2934,0.76,-1.0,0.1453444,0.55
