Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic,Release day revenue / production budget,Rotten Tomatoes Audience
The Sorcerer's Apprentice,Based on Short Film,Adventure,Animation/Live Action,False,160000000,7,2010,3873997,3385,-1.0,0.46,0.02421248125,-1.0
Poseidon,Remake,Adventure,Live Action,False,160000000,5,2006,7393250,3555,0.33,0.5,0.0462078125,0.43
Warcraft,Based on Game,Action,Live Action,True,160000000,6,2016,10701750,3400,0.28,0.32,0.0668859375,0.77
Deepwater Horizon,Based on Real Life Events,Drama,Live Action,True,156000000,9,2016,7067243,3259,0.83,0.68,0.04530283974358974,0.82
The Chronicles of Narnia: The Voyage of the Dawn Treader,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,True,155000000,12,2010,8255202,3555,-1.0,0.53,0.05325936774193549,-1.0
Terminator: Genisys,Original Screenplay,Action,Live Action,True,155000000,7,2015,8930404,3758,0.26,0.38,0.05761550967741935,0.53
Pacific Rim: Uprising,Original Screenplay,Action,Live Action,True,155000000,3,2018,10329775,3708,0.44,0.44,0.06664370967741935,0.4
Alexander,Based on Real Life Events,Action,Live Action,False,155000000,11,2004,3995000,2445,0.16,0.39,0.025774193548387097,0.34
Captain Marvel,Based on Comic/Graphic Novel,Action,Live Action,True,152000000,3,2019,61715051,4310,0.78,0.64,0.406020072368421,0.58
War for the Planet of the Apes,Original Screenplay,Action,Animation/Live Action,True,152000000,7,2017,22111621,4022,0.93,0.82,0.14547119078947368,0.84
Pearl Harbor,Based on Real Life Events,Action,Live Action,False,151500000,5,2001,18330000,3214,-1.0,0.44,0.12099009900990099,-1.0
Transformers,Based on TV,Action,Animation/Live Action,True,151000000,7,2007,8801025,3050,-1.0,0.61,0.05828493377483444,-1.0
Wonder Woman,Based on Comic/Graphic Novel,Action,Live Action,True,150000000,6,2017,38247254,4165,0.82,0.76,0.2549816933333333,0.78
Frozen,Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,True,150000000,11,2013,66498,1,0.56,0.43,0.00044332,0.57
Zootopia,Original Screenplay,Adventure,Digital Animation,True,150000000,3,2016,19500008,3827,0.97,0.78,0.13000005333333334,0.92
