Movie Name,Production budget,Release day revenue,Tomatometer
Shrek the Third,160000000,907339,0.41
Inception,160000000,21782199,0.86
The Hunger Games: Mockingjay - Part 2,160000000,45579056,-1
Fast and Furious 6,160000000,38737505,0.7
Godzilla,160000000,38410607,0.16
X-Men: First Class,160000000,21398778,-1
The Curious Case of Benjamin Button,160000000,11871831,-1
The Sorcerer's Apprentice,160000000,3873997,-1
Poseidon,160000000,7393250,0.33
Warcraft,160000000,10701750,0.28
Deepwater Horizon,156000000,7067243,0.83
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,8255202,-1
Terminator: Genisys,155000000,8930404,0.26
Pacific Rim: Uprising,155000000,10329775,0.44
Alexander,155000000,3995000,0.16
Captain Marvel,152000000,61715051,0.78
War for the Planet of the Apes,152000000,22111621,0.93
Pearl Harbor,151500000,18330000,-1
Transformers,151000000,8801025,-1
Wonder Woman,150000000,38247254,0.82
Frozen,150000000,66498,0.56
Zootopia,150000000,19500008,0.97
Harry Potter and the Order of the Phoenix,150000000,44232338,0.77
Harry Potter and the Goblet of Fire,150000000,40118363,0.88
The Matrix Reloaded,150000000,42508303,0.73
I am Legend,150000000,30059386,0.69
Moana,150000000,15519234,0.83
Hancock,150000000,6835034,0.41
Charlie and the Chocolate Factory,150000000,20714395,0.82
Ratatouille,150000000,16452942,0.96
Thor: The Dark World,150000000,31899210,0.66
Batman Begins,150000000,15068368,0.84
Mission: ImpossibleâRogue Nation,150000000,20301126,-1
Dunkirk,150000000,19736259,-1
Thor,150000000,25481796,0.77
Madagascar: Escape 2 Africa,150000000,17555027,0.63
X-Men Origins: Wolverine,150000000,34433831,-1
Night at the Museum: Battle of the Smithsonian,150000000,15568708,-1
Kung Fu Panda 2,150000000,5804129,-1
Mad Max: Fury Road,150000000,16611428,0.97
The Matrix Revolutions,150000000,24311365,0.36
Ready Player One,150000000,11946275,0.72
Chicken Little,150000000,10571609,0.37
Mission: Impossible III,150000000,16632157,-1
Angels & Demons,150000000,16471357,-1
Troy,150000000,16900000,0.54
The Last Airbender,150000000,17511097,-1
Bee Movie,150000000,10202024,0.5
G-Force,150000000,11533504,-1
Bolt,150000000,7036716,0.89
Wrath of the Titans,150000000,12316264,-1
Beowulf,150000000,10005134,0.71
Dark Shadows,150000000,9673463,0.36
White House Down,150000000,9025649,0.51
The Wolfman,150000000,9649890,-1
The Great Wall,150000000,5884250,-1
Pan,150000000,5183169,-1
Mars Needs Moms,150000000,1722337,0.37
Flushed Away,149000000,4710515,0.73
Madagascar 3: Europe's Most Wanted,145000000,20650819,0.79
Mission: ImpossibleâGhost Protocol,145000000,4102843,-1
How to Train Your Dragon 2,145000000,18440040,0.92
Tarzan,145000000,75122,0.88
Mr. Peabody & Sherman,145000000,8018923,-1
Rise of the Guardians,145000000,4837243,0.74
Sahara,145000000,6150277,-1
Ghostbusters,144000000,17129166,0.97
Die Another Day,142000000,16619731,0.57
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,13509262,0.79
Star Trek,140000000,30893975,0.94
Armageddon,140000000,9668216,0.38
Men in Black 2,140000000,18599621,-1
Captain America: The First Avenger,140000000,25700189,0.8
Kung Fu Panda 3,140000000,10452621,0.86
Lethal Weapon 4,140000000,11305000,0.52
G.I. Joe: Retaliation,140000000,10506875,0.29
The Last Samurai,140000000,8200000,-1
Fun With Dick And Jane,140000000,3761129,0.28
Exodus: Gods and Kings,140000000,8867545,0.3
The BFG,140000000,7084842,-1
Gods of Egypt,140000000,4778391,0.15
Spider-Man,139000000,39406872,0.9
Watchmen,138000000,24515772,0.64
Stealth,138000000,4769491,-1
The Incredible Hulk,137500000,21468125,0.67
Hulk,137000000,24879000,0.62
Final Fantasy: The Spirits Within,137000000,5007886,0.45
"The Twilight Saga: Breaking Dawn, Part 2",136200000,71167839,0.49
The Croods,135000000,11645354,0.71
The Revenant,135000000,171758,-1
The World is Not Enough,135000000,12130000,-1
Rango,135000000,9608091,0.88
Master and Commander: The Far Side of the World,135000000,8156000,0.85
Turbo,135000000,5552403,-1
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,12484117,0.37
Happy Feet Two,135000000,5850626,0.45
Miami Vice,135000000,9017685,0.45
The Nutcracker and the Four Realms,132900000,5890162,0.33
War of the Worlds,132000000,21256483,0.75
Penguins of Madagascar,132000000,6138518,0.73
The Hunger Games: Catching Fire,130000000,70950136,0.89
Harry Potter and the Prisoner of Azkaban,130000000,38268295,0.9
The Bourne Ultimatum,130000000,24668225,-1
Ant-Man and the Wasp,130000000,33725082,-1
Kung Fu Panda,130000000,20303918,0.87
Ant-Man,130000000,22649199,0.82
Home,130000000,15716740,-1
Mary Poppins Returns,130000000,4763547,0.78
Puss in Boots,130000000,9569130,-1
Megamind,130000000,12530397,0.72
Bad Boys II,130000000,16883057,0.22
Rio 2,130000000,12007367,0.47
Salt,130000000,12532333,-1
Noah,130000000,15183234,0.76
The Adventures of Tintin,130000000,2302020,0.73
After Earth,130000000,9840651,0.11
Australia,130000000,2268558,0.55
R.I.P.D.,130000000,4819880,0.13
How to Train Your Dragon: The Hidden World,129000000,17376690,0.9
"The Twilight Saga: Breaking Dawn, Part 1",127500000,71642526,0.25
Dinosaur,127500000,11255000,-1
Logan,127000000,33005352,-1
Night at the Museum: Secret of the Tomb,127000000,5655945,0.48
Harry Potter and the Deathly Hallows: Part II,125000000,91071119,0.96
The Hunger Games: Mockingjay - Part 1,125000000,55139942,-1
Harry Potter and the Sorcererâs Stone,125000000,32333203,0.81
Harry Potter and the Deathly Hallows: Part I,125000000,61684550,0.78
The Da Vinci Code,125000000,28630324,-1
X-Men 2,125000000,31247979,-1
Fast Five,125000000,34399360,0.77
Teenage Mutant Ninja Turtles,125000000,25602161,0.34
Sherlock Holmes: A Game of Shadows,125000000,14607982,0.6
The Day After Tomorrow,125000000,24700000,-1
The Boss Baby,125000000,15621148,0.52
Clash of the Titans,125000000,2655005,0.68
Trolls,125000000,12373296,0.75
Godzilla,125000000,4088785,0.16
Prometheus,125000000,21466267,-1
The Bourne Legacy,125000000,13931400,0.56
Batman & Robin,125000000,16115353,-1
Skyscraper,125000000,9248305,-1
Total Recall,125000000,9092341,0.82
Assassinâs Creed,125000000,4623401,0.18
Monster Trucks,125000000,2595731,-1
The 13th Warrior,125000000,3381000,-1
How the Grinch Stole Christmas,123000000,15200440,0.51
Mission: Impossible 2,120000000,12516528,0.57
The Perfect Storm,120000000,13240000,0.47
Jason Bourne,120000000,22611225,0.55
Fantastic Four: Rise of the Silver Surfer,120000000,21990579,-1
Life of Pi,120000000,3645051,0.86
Ghost Rider,120000000,15420123,0.27
Rampage,120000000,11543321,-1
Charlie's Angels: Full Throttle,120000000,14611667,0.42
Elysium,120000000,11088228,-1
Oblivion,120000000,13297245,-1
Power Rangers,120000000,14921144,-1
Stuart Little 2,120000000,5314000,0.81
RoboCop,120000000,2808698,0.49
The Chronicles of Riddick,120000000,9900000,-1
Fantastic Four,120000000,11282868,0.27
Speed Racer,120000000,6192227,0.4
The Island,120000000,4202195,-1
How Do You Know?,120000000,2572546,0.32
Knight and Day,117000000,3810649,0.52
Venom,116000000,32503530,-1
Star Wars Ep. I: The Phantom Menace,115000000,28542349,-1
Star Wars Ep. III: Revenge of the Sith,115000000,50013859,-1
Star Wars Ep. II: Attack of the Clones,115000000,30141417,-1
"Monsters, Inc.",115000000,17390000,0.96
The Wolverine,115000000,20655772,-1
Dante's Peak,115000000,22608830,0.24
The Huntsman: Winterâs War,115000000,7271320,0.17
Windtalkers,115000000,4400000,0.32
AstÃ©rix aux Jeux Olympiques,113500000,275637,-1
Gulliver's Travels,112000000,3428531,-1
Ferdinand,111000000,3627780,0.72
Deadpool 2,110000000,53034421,0.83
Gravity,110000000,17484818,-1
Night at the Museum,110000000,12134015,0.43
Mr. and Mrs. Smith,110000000,17474908,0.59
San Andreas,110000000,18148048,0.51
The Smurfs,110000000,13260814,0.22
Live Free or Die Hard,110000000,9111638,0.82
The Divergent Series: Insurgent,110000000,21146942,0.28
Ocean's Twelve,110000000,14500000,0.55
Tomorrow Never Dies,110000000,8570000,0.58
The Patriot,110000000,5015267,-1
300: Rise of an Empire,110000000,17454309,-1
The Aviator,110000000,250000,-1
Passengers,110000000,4106572,-1
The Green Hornet,110000000,11096425,-1
Miss Peregrineâs Home for Peculiar Children,110000000,9041770,0.65
Real Steel,110000000,8533690,0.6
The A-Team,110000000,9660560,-1
The Smurfs 2,110000000,5203980,0.14
The Divergent Series: Allegiant,110000000,11935887,0.11
The Taking of Pelham 123,110000000,8234347,-1
Ender's Game,110000000,9825482,0.61
Home on the Range,110000000,4030000,0.53
Speed 2: Cruise Control,110000000,2260207,0.04
Kingdom of Heaven,110000000,7147738,0.39
Ghost in the Shell,110000000,7660626,0.96
Around the World in 80 Days,110000000,1426000,-1
The Lord of the Rings: The Fellowship of the Ring,109000000,18214211,0.91
The Cat in the Hat,109000000,11200000,-1
Ali,109000000,10216625,0.67
The Martian,108000000,18145681,0.91
Allied,106000000,2702288,0.6
"I, Robot",105000000,17800000,0.56
Stuart Little,105000000,3688000,0.67
The Princess and the Frog,105000000,276860,-1
"10,000 B.C.",105000000,12506898,-1
Ice Age: Collision Course,105000000,7919094,0.17
Town & Country,105000000,994000,-1
Kingsman: The Golden Circle,104000000,15273268,0.53
Gone in 60 Seconds,103300000,9311978,-1
Gladiator,103000000,11683107,0.76
The Hangover 3,103000000,11789463,-1
A Wrinkle in Time,103000000,10208602,-1
Public Enemies,102500000,8165025,-1
Casino Royale,102000000,14741135,0.94
Minority Report,102000000,11346000,0.91
Bumblebee,102000000,8501129,0.93
Cloud Atlas,102000000,3402211,0.67
Harry Potter and the Chamber of Secrets,100000000,29631453,0.82
Terminator 2: Judgment Day,100000000,2400000,0.93
Batman Forever,100000000,20046461,0.39
Planet of the Apes,100000000,25061500,-1
National Treasure,100000000,11000000,0.45
Django Unchained,100000000,15011121,0.86
Little Fockers,100000000,7142775,0.09
True Lies,100000000,40834885,0.71
American Gangster,100000000,15865355,0.8
Cloudy with a Chance of Meatballs,100000000,8137358,-1
The Other Guys,100000000,13124233,-1
Lemony Snicket's A Series of Unfortunate Events,100000000,10500000,-1
The Wolf of Wall Street,100000000,9150379,-1
Epic,100000000,9348014,-1
Eraser,100000000,36423776,0.35
The Hunchback of Notre Dame,100000000,32795950,-1
The Emperor's New Groove,100000000,2291000,-1
The Expendables 2,100000000,10494145,0.67
Where the Wild Things Are,100000000,12077282,0.72
Eragon,100000000,8742232,0.16
Hercules,100000000,11058454,0.83
The Tourist,100000000,6033091,-1
End of Days,100000000,5177000,0.11
The Stepford Wives,100000000,8100000,-1
Surf's Up,100000000,5804772,0.79
Blood Diamond,100000000,2647260,0.63
Legend of the Guardians: The Owls of Ga'Hoole,100000000,4519426,-1
Starship Troopers,100000000,8185000,0.62
Land of the Lost,100000000,7130025,-1
Peter Pan,100000000,3671000,-1
Catwoman,100000000,6300000,0.09
The Expendables 3,100000000,5950169,0.32
Treasure Planet,100000000,2361000,0.69
Wonder Park,100000000,5330263,0.31
Green Zone,100000000,5045040,-1
Geostorm,100000000,4304551,0.14
Point Break,100000000,4143201,0.68
In the Heart of the Sea,100000000,3849684,0.43
Transcendence,100000000,4813369,-1
Son of the Mask,100000000,2000000,0.06
Mortal Engines,100000000,2818295,0.27
The Adventures of Pluto Nash,100000000,727870,0.04
Jin lÃ­ng shÃ­ san chai,100000000,80986,-1
The Peanuts Movie,99000000,12075444,0.87
The LEGO Movie 2: The Second Part,99000000,8461120,0.86
Robin Hood,99000000,3159319,-1
The Mummy Returns,98000000,24134667,-1
Gangs of New York,97000000,2872500,0.74
Alien: Covenant,97000000,15301274,0.65
Cinderella,95000000,22996095,-1
Ice Age: Continental Drift,95000000,16728341,0.38
Black Hawk Down,95000000,10117000,0.76
Sex and the City 2,95000000,14208097,0.15
Percy Jackson & the Olympians: The Lightning Thief,95000000,9635313,-1
The Campaign,95000000,10177051,0.65
Unstoppable,95000000,7973861,-1
The Fifth Element,95000000,233396,0.71
The Road to El Dorado,95000000,3676101,-1
The Lovely Bones,95000000,43532,-1
Ben-Hur,95000000,4134322,0.87
Seventh Son,95000000,2287050,0.11
Finding Nemo,94000000,20208056,0.99
The Lord of the Rings: The Return of the King,94000000,34450834,0.93
The Lord of the Rings: The Two Towers,94000000,26159972,0.95
Lara Croft: Tomb Raider,94000000,17621000,0.2
Kingsman: The Secret Service,94000000,10428861,0.74
Jurassic Park III,93000000,19024360,0.5
Rise of the Planet of the Apes,93000000,19534699,0.82
The Spiderwick Chronicles,92500000,2375880,-1
The Incredibles,92000000,20503078,-1
A Good Day to Die Hard,92000000,8239116,0.15
The Alamo,92000000,3356000,-1
Cutthroat Island,92000000,4381670,0.38
The Secret Life of Walter Mitty,91000000,7813372,0.51
Jumanji: Welcome to the Jungle,90000000,7208112,0.76
Men in Black,90000000,4815427,0.92
Toy Story 2,90000000,101000,1.0
Rush Hour 2,90000000,22617500,0.52
Sherlock Holmes,90000000,24608941,-1
Ice Age: Dawn of the Dinosaurs,90000000,13791157,-1
Spider-Man: Into The Spider-Verse 3D,90000000,12665081,-1
What Lies Beneath,90000000,9998065,0.46
Rio,90000000,10345242,0.72
The Departed,90000000,8689561,0.91
Charlie's Angels,90000000,13392000,0.68
Mulan,90000000,7975000,0.86
Tropic Thunder,90000000,6503141,0.81
The Girl with the Dragon Tattoo,90000000,5065496,0.86
Contact,90000000,6543925,-1
You Don't Mess With the Zohan,90000000,14850376,0.37
Die Hard: With a Vengeance,90000000,29882809,0.52
The Magnificent Seven,90000000,12668015,0.63
Alvin and the Chipmunks: The Road Chip,90000000,4126717,0.15
Atlantis: The Lost Empire,90000000,103750,0.49
Valkyrie,90000000,8493000,0.62
Pixels,90000000,9110510,0.17
Artificial Intelligence: AI,90000000,10139500,-1
The Haunted Mansion,90000000,4400000,-1
Hollow Man,90000000,9082000,0.27
The Interpreter,90000000,7400000,0.8
Percy Jackson: Sea of Monsters,90000000,5452994,0.42
Lara Croft: Tomb Raider: The Cradle of Life,90000000,8225219,0.25
Now You See Me 2,90000000,8400189,0.34
Spy Game,90000000,3854000,0.66
The Saint,90000000,7868,-1
Mission to Mars,90000000,7897000,0.25
Tomb Raider,90000000,8984365,-1
Bicentennial Man,90000000,2237000,0.36
King Arthur,90000000,4819000,-1
Volcano,90000000,18344036,-1
The Devil's Own,90000000,22574814,-1
K-19: The Widowmaker,90000000,4023000,0.61
Conan the Barbarian,90000000,3673635,0.7
The Three Musketeers,90000000,2969687,-1
The Promise,90000000,1441951,-1
The Nutcracker in 3D,90000000,10019,0.0
Bright,90000000,-1,0.25
Army of the Dead,90000000,-1,-1
Twister,88000000,57982084,-1
Cinderella Man,88000000,5905225,0.8
The Predator,88000000,10303059,0.32
Fantastic Four,87500000,21263992,0.27
Hannibal,87000000,18959000,-1
Seabiscuit,86000000,6384690,0.77
Cast Away,85000000,11755000,0.88
Happy Feet,85000000,12257221,0.76
Ocean's Eleven,85000000,13300000,0.82
The Bourne Supremacy,85000000,18400000,-1
Air Force One,85000000,11981951,0.76
Fast & Furious,85000000,30560630,-1
Horton Hears a Who,85000000,13337277,-1
Divergent,85000000,22784019,0.42
Hotel Transylvania,85000000,10973012,0.44
Enchanted,85000000,7967766,0.93
Safe House,85000000,13645625,-1
I Now Pronounce You Chuck and Larry,85000000,12599475,0.14
Ocean's Thirteen,85000000,13178716,0.7
Itâs Complicated,85000000,7174195,-1
Enemy of the State,85000000,6360000,0.71
Open Season,85000000,6212884,0.48
Tower Heist,85000000,8062980,0.67
102 Dalmatians,85000000,2600000,-1
Mirror Mirror,85000000,5808426,-1
The Holiday,85000000,4441935,0.49
The Fast and the Furious: Tokyo Drift,85000000,9731805,-1
Memoirs of a Geisha,85000000,2651550,0.35
Enemy at the Gates,85000000,4810000,0.54
Last Action Hero,85000000,21932605,0.36
The Rundown,85000000,6356000,0.7
Arthur Christmas,85000000,2389269,0.92
xXx: Return of Xander Cage,85000000,7104191,0.46
Meet Joe Black,85000000,4925000,0.51
Cats & Dogs: The Revenge of Kitty Galore,85000000,4218673,-1
Collateral Damage,85000000,4773000,-1
Showtime,85000000,5009000,-1
Judge Dredd,85000000,19077560,0.17
Zodiac,85000000,4206713,0.9
Scott Pilgrim vs. The World,85000000,4522890,0.81
The Core,85000000,3976502,-1
Father's Day,85000000,11099034,0.25
Shazam!,85000000,-1,0.92
The Greatest Showman,84000000,2451071,0.56
Scooby-Doo,84000000,18300000,-1
Nutty Professor II: The Klumps,84000000,15032000,0.26
RED 2,84000000,6349306,0.44
Click,82500000,14426286,0.33
Charlotte's Web,82500000,3425749,0.79
Jumper,82500000,6625015,0.15
Hellboy II: The Golden Army,82500000,13729140,-1
The Longest Yard,82000000,16186262,0.31
The Expendables,82000000,13330881,0.42
The 6th Day,82000000,3064848,0.41
Bruce Almighty,81000000,20114325,0.49
The Hunger Games,80000000,67263650,0.84
The Hangover Part II,80000000,31610367,0.33
Mission: Impossible,80000000,3400000,0.63
The Lego Batman Movie,80000000,14493258,0.9
Hotel Transylvania 2,80000000,13325427,0.55
Batman Returns,80000000,2033000,0.8
The Mummy,80000000,14970000,-1
Over the Hedge,80000000,10769117,0.75
Lilo & Stitch,80000000,12307000,-1
Deep Impact,80000000,13198000,0.45
Grown Ups 2,80000000,16311822,0.07
Alvin and the Chipmunks: Chipwrecked,80000000,6706964,0.11
Get Smart,80000000,13365143,0.5
Robots,80000000,9800000,0.64
Shutter Island,80000000,14058226,-1
Something's Gotta Give,80000000,5300000,0.72
Four Christmases,80000000,6081764,0.24
Face/Off,80000000,7737468,0.92
Bedtime Stories,80000000,10529000,0.25
Road to Perdition,80000000,6608000,0.8
Just Go With It,80000000,9459694,0.18
Daredevil,80000000,15320158,0.44
Eagle Eye,80000000,9800184,0.27
Con Air,80000000,3008184,0.55
Yogi Bear,80000000,4602095,0.13
Cold Mountain,80000000,4505514,0.71
The Book of Eli,80000000,11672970,0.47
Flubber,80000000,3155000,0.24
The Haunting,80000000,11800000,-1
Space Jam,80000000,32059155,0.42
Fury,80000000,8823154,-1
Smallfoot,80000000,6433241,0.76
The Pink Panther,80000000,5892787,0.9
Zookeeper,80000000,7365038,0.14
The Day the Earth Stood Still,80000000,11614781,-1
Conspiracy Theory,80000000,5932017,0.56
"Six Days, Seven Nights",80000000,4770000,0.36
Spirit: Stallion of the Cimarron,80000000,4580672,0.7
Swordfish,80000000,5838000,0.26
Fantasia 2000 (Theatrical Release),80000000,829111,-1
Lost In Space,80000000,6835000,0.28
The Manchurian Candidate,80000000,6100000,-1
DÃ©jÃ  Vu,80000000,3538535,-1
Bewitched,80000000,7586225,0.24
The Time Machine,80000000,7216000,-1
What Dreams May Come,80000000,4960000,0.54
Mighty Joe Young,80000000,3140000,-1
The Legend of Zorro,80000000,5345087,-1
Little Nicky,80000000,5375000,0.22
Surrogates,80000000,5053646,-1
Evolution,80000000,4450500,-1
The Brothers Grimm,80000000,5200000,-1
Mars Attacks!,80000000,11981260,0.53
The Wild,80000000,4180525,0.19
Walking with Dinosaurs,80000000,2164499,-1
Thirteen Days,80000000,2705000,0.83
Daylight,80000000,12516700,0.25
The Last Witch Hunter,80000000,3770882,0.17
Pompeii,80000000,3367131,-1
Battlefield Earth: A Saga of the Year 3000,80000000,4245000,-1
Looney Tunes: Back in Action,80000000,2168000,0.56
Nine,80000000,86229,-1
Timeline,80000000,2000000,0.11
Oceans,80000000,2466530,0.81
Babe: Pig in the City,80000000,835000,0.63
The Postman,80000000,1555000,0.09
Red Planet,80000000,2980000,0.14
Arthur et les Minimoys,80000000,942806,-1
The Invasion,80000000,2076013,0.19
A Sound of Thunder,80000000,277343,0.06
The Lion King,79300000,8919921,0.93
Journey 2: The Mysterious Island,79000000,6541362,0.45
Jack and Jill,79000000,9836625,-1
A Beautiful Mind,78000000,113000,0.74
Cloudy with a Chance of Meatballs 2,78000000,9245997,0.71
Red Dragon,78000000,13478355,0.68
Hidalgo,78000000,5900000,0.46
The League of Extraordinary Gentlemen,78000000,8500000,-1
Exorcist: The Beginning,78000000,7022128,0.11
AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,77600000,-1,-1
The Little Prince,77500000,149971,-1
Renegades,77500000,2178,-1
The Equalizer 2,77000000,13375850,0.51
Despicable Me 2,76000000,35010665,0.74
2 Fast 2 Furious,76000000,19664160,0.36
Children of Men,76000000,179268,0.92
The Adventures of Rocky & Bullwinkle,76000000,2130000,-1
The Secret Life of Pets,75000000,38542760,0.73
Independence Day,75000000,11024456,-1
Dr. Seussâ The Grinch,75000000,18641165,-1
Sing,75000000,11010175,0.43
Despicable Me 3,75000000,29005340,0.59
The Lost World: Jurassic Park,75000000,2567182,-1
Ice Age: The Meltdown,75000000,21788862,-1
Madagascar,75000000,13947637,0.54
Grown Ups,75000000,14407593,0.1
Shark Tale,75000000,12700000,0.35
X-Men,75000000,21385000,0.81
Wanted,75000000,19018335,-1
The Rock,75000000,37554724,-1
50 First Dates,75000000,10500000,-1
Hairspray,75000000,10984000,0.91
Now You See Me,75000000,10061689,0.5
Dreamgirls,75000000,87000,0.78
Christopher Robin,75000000,9514392,0.72
Inspector Gadget,75000000,6645000,0.21
Immortals,75000000,14841483,-1
The Terminal,75000000,6300000,-1
Constantine,75000000,11000000,0.46
Monster House,75000000,7362974,0.74
Vertical Limit,75000000,5011000,0.48
Charlie Wilson's War,75000000,2793875,0.82
Life,75000000,6410000,0.5
Be Cool,75000000,8179924,0.3
Munich,75000000,1372560,0.78
Killers,75000000,5674553,-1
The Man From U.N.C.L.E.,75000000,4804022,0.66
Tears of the Sun,75000000,5805885,0.33
Lady in the Water,75000000,6851808,0.25
Spanglish,75000000,3000000,0.53
Bandits,75000000,3660000,0.64
Anna and the King,75000000,1551000,-1
First Knight,75000000,15620946,0.44
Sucker Punch,75000000,8031460,-1
